i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            

0	0	0	2.28873e-09    2.28873e-09    20             0              0              
1	0	0	2.15558e-09    2.15558e-09    20             0              0              
2	0	0	2.28894e-09    2.28894e-09    20             0              0              
3	0	0	2.38366e-09    2.2947e-09     20             0              0              
4	0	0	2.24002e-09    2.13627e-09    20             0              0              
5	0	0	2.26523e-09    2.26523e-09    20             0              0              
6	0	0	2.3335e-09     2.3045e-09     20             0              0              
7	0	0	2.33367e-09    2.24059e-09    20             0              0              
8	0	0	2.43876e-09    2.36694e-09    20             0              0              
9	0	0	2.4065e-09     2.30418e-09    20             0              0              
10	0	0	2.32057e-09    2.32057e-09    20             0              0              
11	0	0	2.62665e-09    2.50169e-09    20             0              0              
12	0	0	2.55121e-09    2.35872e-09    20             0              0              
13	0	0	2.25404e-09    2.25404e-09    20             0              0              
14	0	0	2.28332e-09    2.24853e-09    20             0              0              
15	0	0	2.20999e-09    2.1234e-09     20             0              0              
16	0	0	2.36154e-09    2.36154e-09    20             0              0              
17	0	0	2.2034e-09     2.11896e-09    20             0              0              
18	0	0	2.28626e-09    2.19028e-09    20             0              0              
19	0	0	2.24978e-09    2.24978e-09    20             0              0              
20	0	0	2.399e-09      2.399e-09      20             0              0              
21	0	0	2.49781e-09    2.48577e-09    20             0              0              
22	0	0	2.49574e-09    2.37536e-09    20             0              0              
23	0	0	2.54887e-09    2.49155e-09    20             0              0              
24	0	0	2.33521e-09    2.33521e-09    20             0              0              
25	0	0	2.23788e-09    2.23788e-09    20             0              0              
26	0	0	2.35739e-09    2.35739e-09    20             0              0              
27	0	0	2.59818e-09    2.56819e-09    20             0              0              
28	0	0	2.45852e-09    2.39226e-09    20             0              0              
29	0	0	2.31068e-09    2.31068e-09    20             0              0              
30	0	0	2.31604e-09    2.31604e-09    20             0              0              
31	0	0	2.4085e-09     2.30057e-09    20             0              0              
32	0	0	2.49196e-09    2.49196e-09    20             0              0              
33	0	0	2.66437e-09    2.66437e-09    20             0              0              
34	0	0	2.3041e-09     2.3041e-09     20             0              0              
35	0	0	2.22227e-09    2.22227e-09    20             0              0              
36	0	0	2.36943e-09    2.36943e-09    20             0              0              
37	0	0	2.48634e-09    2.47493e-09    20             0              0              
38	0	0	2.52232e-09    2.42949e-09    20             0              0              
39	0	0	2.31801e-09    2.31801e-09    20             0              0              
40	0	0	2.36596e-09    2.36596e-09    20             0              0              
41	0	0	2.37289e-09    2.36154e-09    20             0              0              
42	0	0	2.76355e-09    2.6635e-09     20             0              0              
43	0	0	2.53389e-09    2.44639e-09    20             0              0              
44	0	0	2.29058e-09    2.29058e-09    20             0              0              
45	0	0	2.55548e-09    2.55548e-09    20             0              0              
46	0	0	2.47962e-09    2.29992e-09    20             0              0              
47	0	0	2.45464e-09    2.45464e-09    20             0              0              
48	0	0	2.64237e-09    2.5395e-09     20             0              0              
49	0	0	2.69101e-09    2.59492e-09    20             0              0              
50	0	0	2.44493e-09    2.44493e-09    20             0              0              
51	0	0	2.64488e-09    2.54251e-09    20             0              0              
52	0	0	2.61315e-09    2.61315e-09    20             0              0              
53	0	0	2.50772e-09    2.50772e-09    20             0              0              
54	0	0	2.41249e-09    2.41249e-09    20             0              0              
55	0	0	2.41918e-09    2.41918e-09    20             0              0              
56	0	0	2.46733e-09    2.39946e-09    20             0              0              
57	0	0	2.65633e-09    2.52823e-09    20             0              0              
58	0	0	2.59274e-09    2.50764e-09    20             0              0              
59	0	0	2.40719e-09    2.39021e-09    20             0              0              
60	0	0	2.79428e-09    2.6974e-09     20             0              0              
61	0	0	2.53595e-09    2.47224e-09    20             0              0              
62	0	0	2.59952e-09    2.59952e-09    20             0              0              
63	0	0	3.63098e-09    2.79041e-09    20             8.40413e-10    1              
64	0	0	2.49493e-09    2.41015e-09    20             0              0              
65	0	0	2.4131e-09     2.40572e-09    20             0              0              
66	0	0	2.64818e-09    2.56403e-09    20             0              0              
67	0	0	2.45003e-09    2.45003e-09    20             0              0              
68	0	0	2.40683e-09    2.40683e-09    20             0              0              
69	0	0	2.50245e-09    2.41316e-09    20             0              0              
70	0	0	2.48499e-09    2.47948e-09    20             0              0              
71	0	0	2.72769e-09    2.72769e-09    20             0              0              
72	0	0	2.55159e-09    2.55159e-09    20             0              0              
73	0	0	2.75087e-09    2.75087e-09    20             0              0              
74	0	0	2.41567e-09    2.41567e-09    20             0              0              
75	0	0	3.64737e-09    2.78459e-09    20             8.62784e-10    1              
76	0	0	2.73309e-09    2.64417e-09    20             0              0              
77	0	0	2.74252e-09    2.74252e-09    20             0              0              
78	0	0	2.60576e-09    2.60041e-09    20             0              0              
79	0	0	2.86857e-09    2.7662e-09     20             0              0              
80	0	0	2.81178e-09    2.72964e-09    20             0              0              
81	0	0	2.71878e-09    2.70347e-09    20             0              0              
82	0	0	2.81328e-09    2.73103e-09    20             0              0              
83	0	0	2.58744e-09    2.54809e-09    20             0              0              
84	0	0	2.60526e-09    2.47025e-09    20             0              0              
85	0	0	2.60858e-09    2.60858e-09    20             0              0              
86	0	0	2.50989e-09    2.50989e-09    20             0              0              
87	0	0	2.94512e-09    2.84187e-09    20             0              0              
88	0	0	2.8119e-09     2.72457e-09    20             0              0              
89	0	0	2.71691e-09    2.6339e-09     20             0              0              
90	0	0	2.94319e-09    2.85398e-09    20             0              0              
91	0	0	2.61299e-09    2.61299e-09    20             0              0              
92	0	0	2.75249e-09    2.68362e-09    20             0              0              
93	0	0	2.60223e-09    2.48586e-09    20             0              0              
94	0	0	3.11626e-09    3.11626e-09    20             0              0              
95	0	0	2.6329e-09     2.6329e-09     20             0              0              
96	0	0	2.58662e-09    2.58662e-09    20             0              0              
97	0	0	2.56038e-09    2.56038e-09    20             0              0              
98	0	0	2.74918e-09    2.74918e-09    20             0              0              
99	0	0	2.85859e-09    2.85859e-09    20             0              0              
100	0	0	2.80742e-09    2.80742e-09    20             0              0              
101	0	0	2.98067e-09    2.93068e-09    20             0              0              
102	0	0	2.65002e-09    2.60847e-09    20             0              0              
103	0	0	2.84978e-09    2.84978e-09    20             0              0              
104	0	0	2.71979e-09    2.71979e-09    20             0              0              
105	0	0	2.69793e-09    2.69793e-09    20             0              0              
106	0	0	2.91812e-09    2.91812e-09    20             0              0              
107	0	0	2.86675e-09    2.86675e-09    20             0              0              
108	0	0	2.94032e-09    2.94032e-09    20             0              0              
109	0	0	2.69661e-09    2.69661e-09    20             0              0              
110	0	0	2.72456e-09    2.72456e-09    20             0              0              
111	0	0	2.8932e-09     2.8932e-09     20             0              0              
112	0	0	2.91666e-09    2.91666e-09    20             0              0              
113	0	0	3.03978e-09    3.03978e-09    20             0              0              
114	0	0	2.90054e-09    2.90054e-09    20             0              0              
115	0	0	2.96484e-09    2.96484e-09    20             0              0              
116	0	0	2.89872e-09    2.89872e-09    20             0              0              
117	0	0	2.98325e-09    2.98325e-09    20             0              0              
118	0	0	3.04681e-09    3.04681e-09    20             0              0              
119	0	0	3.01196e-09    3.01196e-09    20             0              0              
120	0	0	2.84555e-09    2.84555e-09    20             0              0              
121	0	0	2.96148e-09    2.96148e-09    20             0              0              
122	0	0	3.02697e-09    3.02697e-09    20             0              0              
123	0	0	2.93911e-09    2.93911e-09    20             0              0              
124	0	0	2.78551e-09    2.78551e-09    20             0              0              
125	0	0	3.09539e-09    3.09539e-09    20             0              0              
126	0	0	3.00602e-09    3.00602e-09    20             0              0              
127	0	0	3.07898e-09    3.07547e-09    20             0              0              
128	0	0	3.21749e-09    3.13391e-09    20             0              0              
129	0	0	2.90286e-09    2.90286e-09    20             0              0              
130	0	0	2.94881e-09    2.94881e-09    20             0              0              
131	0	0	2.86532e-09    2.86532e-09    20             0              0              
132	0	0	2.87653e-09    2.87653e-09    20             0              0              
133	0	0	3.11822e-09    3.11822e-09    20             0              0              
134	0	0	2.97601e-09    2.97601e-09    20             0              0              
135	0	0	3.06199e-09    3.06199e-09    20             0              0              
136	0	0	3.23277e-09    3.23277e-09    20             0              0              
137	0	0	2.86458e-09    2.86458e-09    20             0              0              
138	0	0	3.23125e-09    3.23125e-09    20             0              0              
139	0	0	2.92786e-09    2.92786e-09    20             0              0              
140	0	0	3.3237e-09     3.3237e-09     20             0              0              
141	0	0	3.13778e-09    3.13778e-09    20             0              0              
142	0	0	2.99398e-09    2.99398e-09    20             0              0              
143	0	0	3.49753e-09    3.49753e-09    20             0              0              
144	0	0	3.11849e-09    3.11849e-09    20             0              0              
145	0	0	3.14671e-09    3.14671e-09    20             0              0              
146	0	0	3.25104e-09    3.25104e-09    20             0              0              
147	0	0	3.19141e-09    3.19141e-09    20             0              0              
148	0	0	3.36813e-09    3.36813e-09    20             0              0              
149	0	0	3.24474e-09    3.24474e-09    20             0              0              
150	0	0	3.36434e-09    3.36434e-09    20             0              0              
151	0	0	3.22199e-09    3.22199e-09    20             0              0              
152	0	0	3.41025e-09    3.41025e-09    20             0              0              
153	0	0	3.2968e-09     3.2968e-09     20             0              0              
154	0	0	3.26582e-09    3.26582e-09    20             0              0              
155	0	0	3.1462e-09     3.1462e-09     20             0              0              
156	0	0	3.14981e-09    3.14981e-09    20             0              0              
157	0	0	3.33045e-09    3.33045e-09    20             0              0              
158	0	0	3.11998e-09    3.11998e-09    20             0              0              
159	0	0	3.52523e-09    3.52523e-09    20             0              0              
160	0	0	3.47606e-09    3.47606e-09    20             0              0              
161	0	0	3.34681e-09    3.34681e-09    20             0              0              
162	0	0	3.22437e-09    3.22437e-09    20             0              0              
163	0	0	3.52291e-09    3.52291e-09    20             0              0              
164	0	0	3.46403e-09    3.46403e-09    20             0              0              
165	0	0	3.50743e-09    3.50743e-09    20             0              0              
166	0	0	3.5141e-09     3.5141e-09     20             0              0              
167	0	0	3.48327e-09    3.48327e-09    20             0              0              
168	0	0	3.62706e-09    3.62706e-09    20             0              0              
169	0	0	3.52902e-09    3.52902e-09    20             0              0              
170	0	0	3.75947e-09    3.75947e-09    20             0              0              
171	0	0	3.40975e-09    3.40975e-09    20             0              0              
172	0	0	3.48855e-09    3.48855e-09    20             0              0              
173	0	0	3.46496e-09    3.46496e-09    20             0              0              
174	0	0	3.41415e-09    3.41415e-09    20             0              0              
175	0	0	3.40349e-09    3.40349e-09    20             0              0              
176	0	0	3.66396e-09    3.66396e-09    20             0              0              
177	0	0	3.94433e-09    3.94433e-09    20             0              0              
178	0	0	3.65999e-09    3.65999e-09    20             0              0              
179	0	0	3.62602e-09    3.62602e-09    20             0              0              
180	0	0	3.75575e-09    3.75575e-09    20             0              0              
181	0	0	3.7598e-09     3.7598e-09     20             0              0              
182	0	0	3.61913e-09    3.61913e-09    20             0              0              
183	0	0	3.5742e-09     3.5742e-09     20             0              0              
184	0	0	3.8266e-09     3.8266e-09     20             0              0              
185	0	0	3.9292e-09     3.9292e-09     20             0              0              
186	0	0	3.87252e-09    3.87252e-09    20             0              0              
187	0	0	3.80484e-09    3.80484e-09    20             0              0              
188	0	0	3.78911e-09    3.78911e-09    20             0              0              
189	0	0	3.76575e-09    3.76575e-09    20             0              0              
190	0	0	3.98459e-09    3.98459e-09    20             0              0              
191	0	0	4.1633e-09     4.1633e-09     20             0              0              
192	0	0	4.09831e-09    4.09831e-09    20             0              0              
193	0	0	3.96799e-09    3.96799e-09    20             0              0              
194	0	0	3.88756e-09    3.88756e-09    20             0              0              
195	0	0	4.03246e-09    4.03246e-09    20             0              0              
196	0	0	3.99416e-09    3.99416e-09    20             0              0              
197	0	0	4.07996e-09    4.07996e-09    20             0              0              
198	0	0	4.04335e-09    4.04335e-09    20             0              0              
199	0	0	3.938e-09      3.938e-09      20             0              0              
200	0	0	4.21679e-09    4.21679e-09    20             0              0              
201	0	0	4.06486e-09    4.06486e-09    20             0              0              
202	0	0	4.0924e-09     4.0924e-09     20             0              0              
203	0	0	4.16187e-09    4.16187e-09    20             0              0              
204	0	0	4.55134e-09    4.55134e-09    20             0              0              
205	0	0	4.3244e-09     4.3244e-09     20             0              0              
206	0	0	4.17093e-09    4.17093e-09    20             0              0              
207	0	0	4.63518e-09    4.63518e-09    20             0              0              
208	0	0	4.2301e-09     4.2301e-09     20             0              0              
209	0	0	4.4051e-09     4.4051e-09     20             0              0              
210	0	0	4.4423e-09     4.4423e-09     20             0              0              
211	0	0	4.30691e-09    4.30691e-09    20             0              0              
212	0	0	4.53799e-09    4.53799e-09    20             0              0              
213	0	0	4.57096e-09    4.57096e-09    20             0              0              
214	0	0	4.69345e-09    4.69345e-09    20             0              0              
215	0	0	4.60581e-09    4.60581e-09    20             0              0              
216	0	0	4.5439e-09     4.5439e-09     20             0              0              
217	0	0	4.65373e-09    4.65373e-09    20             0              0              
218	0	0	4.58239e-09    4.58239e-09    20             0              0              
219	0	0	4.72936e-09    4.72936e-09    20             0              0              
220	0	0	4.76755e-09    4.76755e-09    20             0              0              
221	0	0	4.79684e-09    4.79684e-09    20             0              0              
222	0	0	4.89131e-09    4.89131e-09    20             0              0              
