i	j	k	LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	1.13743        1.13704        1.13743        1.13704        0              0              
1	0	0	1.13887        1.13883        1.13887        1.13883        0              0              
2	0	0	1.14063        1.14062        1.14063        1.14062        0              0              
3	0	0	1.14219        1.14258        1.14219        1.14258        0              0              
4	0	0	1.14428        1.14444        1.14428        1.14444        0              0              
5	0	0	1.14628        1.14624        1.14628        1.14624        0              0              
6	0	0	1.14815        1.14816        1.14815        1.14816        0              0              
7	0	0	1.14982        1.15011        1.14982        1.15011        0              0              
8	0	0	1.15193        1.15204        1.15193        1.15204        0              0              
9	0	0	1.15406        1.15405        1.15406        1.15405        0              0              
10	0	0	1.15595        1.15599        1.15595        1.15599        0              0              
11	0	0	1.15847        1.15819        1.15847        1.15819        0              0              
12	0	0	1.16035        1.16032        1.16035        1.16032        0              0              
13	0	0	1.16248        1.16227        1.16248        1.16227        0              0              
14	0	0	1.16426        1.16424        1.16426        1.16424        0              0              
15	0	0	1.16621        1.16614        1.16621        1.16614        0              0              
16	0	0	1.16813        1.16805        1.16813        1.16805        0              0              
17	0	0	1.17027        1.17008        1.17027        1.17008        0              0              
18	0	0	1.17203        1.17198        1.17203        1.17198        0              0              
19	0	0	1.17406        1.1739         1.17406        1.1739         0              0              
20	0	0	1.17593        1.17592        1.17593        1.17592        0              0              
21	0	0	1.17806        1.17809        1.17806        1.17809        0              0              
22	0	0	1.18076        1.18026        1.18076        1.18026        0              0              
23	0	0	1.18221        1.18247        1.18221        1.18247        0              0              
24	0	0	1.18448        1.1846         1.18448        1.1846         0              0              
25	0	0	1.18673        1.18663        1.18673        1.18663        0              0              
26	0	0	1.18884        1.18868        1.18884        1.18868        0              0              
27	0	0	1.19092        1.19095        1.19092        1.19095        0              0              
28	0	0	1.19309        1.19319        1.19309        1.19319        0              0              
29	0	0	1.19549        1.19531        1.19549        1.19531        0              0              
30	0	0	1.19768        1.1974         1.19768        1.1974         0              0              
31	0	0	1.19967        1.19958        1.19967        1.19958        0              0              
32	0	0	1.20156        1.20178        1.20156        1.20178        0              0              
33	0	0	1.20426        1.20415        1.20426        1.20415        0              0              
34	0	0	1.20661        1.20643        1.20661        1.20643        0              0              
35	0	0	1.20864        1.20853        1.20864        1.20853        0              0              
36	0	0	1.21033        1.21066        1.21033        1.21066        0              0              
37	0	0	1.21291        1.21297        1.21291        1.21297        0              0              
38	0	0	1.21539        1.21531        1.21539        1.21531        0              0              
39	0	0	1.218          1.21755        1.218          1.21755        0              0              
40	0	0	1.21991        1.21976        1.21991        1.21976        0              0              
41	0	0	1.22206        1.22207        1.22206        1.22207        0              0              
42	0	0	1.22446        1.2245         1.22446        1.2245         0              0              
43	0	0	1.22751        1.22702        1.22751        1.22702        0              0              
44	0	0	1.22957        1.22932        1.22957        1.22932        0              0              
45	0	0	1.23184        1.23166        1.23184        1.23166        0              0              
46	0	0	1.23427        1.23417        1.23427        1.23417        0              0              
47	0	0	1.23667        1.23651        1.23667        1.23651        0              0              
48	0	0	1.23966        1.23912        1.23966        1.23912        0              0              
49	0	0	1.24202        1.24168        1.24202        1.24168        0              0              
50	0	0	1.24414        1.24418        1.24414        1.24418        0              0              
51	0	0	1.24735        1.24673        1.24735        1.24673        0              0              
52	0	0	1.24964        1.24934        1.24964        1.24934        0              0              
53	0	0	1.2519         1.25191        1.2519         1.25191        0              0              
54	0	0	1.25493        1.25439        1.25493        1.25439        0              0              
55	0	0	1.25739        1.25684        1.25739        1.25684        0              0              
56	0	0	1.25997        1.25936        1.25997        1.25936        0              0              
57	0	0	1.26178        1.262          1.26178        1.262          0              0              
58	0	0	1.26465        1.26468        1.26465        1.26468        0              0              
59	0	0	1.26741        1.26729        1.26741        1.26729        0              0              
60	0	0	1.27052        1.27002        1.27052        1.27002        0              0              
61	0	0	1.27233        1.27274        1.27233        1.27274        0              0              
62	0	0	1.27507        1.2754         1.27507        1.2754         0              0              
63	0	0	96.9141        1.59997        1.27895        1.2791         424.116        424.116        
64	0	0	1.2823         1.28212        1.2823         1.28212        0              0              
65	0	0	1.2843         1.28476        1.2843         1.28476        0              0              
66	0	0	1.28762        1.28746        1.28762        1.28746        0              0              
67	0	0	1.29008        1.29017        1.29008        1.29017        0              0              
68	0	0	1.29259        1.2928         1.29259        1.2928         0              0              
