i	j	k	Dose(Gy)       
0	0	0	4.70823e-10    
1	0	0	4.70931e-10    
2	0	0	4.73535e-10    
3	0	0	4.77068e-10    
4	0	0	4.78766e-10    
5	0	0	4.75735e-10    
6	0	0	4.78808e-10    
7	0	0	4.783e-10      
8	0	0	4.81969e-10    
9	0	0	4.87105e-10    
10	0	0	4.90153e-10    
11	0	0	4.88531e-10    
12	0	0	4.93148e-10    
13	0	0	4.91199e-10    
14	0	0	5.00852e-10    
15	0	0	4.99759e-10    
16	0	0	5.00879e-10    
17	0	0	5.0189e-10     
18	0	0	5.05061e-10    
19	0	0	5.08743e-10    
20	0	0	5.13145e-10    
21	0	0	5.08882e-10    
22	0	0	5.0979e-10     
23	0	0	5.18514e-10    
24	0	0	5.15397e-10    
25	0	0	5.19066e-10    
26	0	0	5.21975e-10    
27	0	0	5.21983e-10    
28	0	0	5.29753e-10    
29	0	0	5.29208e-10    
30	0	0	5.24974e-10    
31	0	0	5.30332e-10    
32	0	0	5.34935e-10    
33	0	0	5.41544e-10    
34	0	0	5.44396e-10    
35	0	0	5.44796e-10    
36	0	0	5.4616e-10     
37	0	0	5.50069e-10    
38	0	0	5.49877e-10    
39	0	0	5.52551e-10    
40	0	0	5.62751e-10    
41	0	0	5.60909e-10    
42	0	0	5.62884e-10    
43	0	0	5.64357e-10    
44	0	0	5.70571e-10    
45	0	0	5.7379e-10     
46	0	0	5.84104e-10    
47	0	0	5.77884e-10    
48	0	0	5.83259e-10    
49	0	0	5.84803e-10    
50	0	0	5.92342e-10    
51	0	0	5.98521e-10    
52	0	0	5.95998e-10    
53	0	0	6.08574e-10    
54	0	0	6.04283e-10    
55	0	0	6.11961e-10    
56	0	0	6.14589e-10    
57	0	0	6.20684e-10    
58	0	0	6.27546e-10    
59	0	0	6.30464e-10    
60	0	0	6.33344e-10    
61	0	0	6.41127e-10    
62	0	0	6.45695e-10    
63	0	0	6.46754e-10    
64	0	0	6.54136e-10    
65	0	0	6.6451e-10     
66	0	0	6.68331e-10    
67	0	0	6.75494e-10    
68	0	0	6.80953e-10    
69	0	0	6.83401e-10    
70	0	0	6.93422e-10    
71	0	0	6.98073e-10    
72	0	0	7.04684e-10    
73	0	0	7.15669e-10    
74	0	0	7.23967e-10    
75	0	0	7.28812e-10    
76	0	0	7.40025e-10    
77	0	0	7.48515e-10    
78	0	0	7.52968e-10    
79	0	0	7.65317e-10    
80	0	0	7.75968e-10    
81	0	0	7.84815e-10    
82	0	0	7.95805e-10    
83	0	0	8.03325e-10    
84	0	0	8.16372e-10    
85	0	0	8.28877e-10    
86	0	0	8.44392e-10    
87	0	0	8.53208e-10    
88	0	0	8.65461e-10    
89	0	0	8.9008e-10     
90	0	0	8.96112e-10    
91	0	0	9.17919e-10    
92	0	0	9.34921e-10    
93	0	0	9.5781e-10     
94	0	0	9.75462e-10    
95	0	0	9.94924e-10    
96	0	0	1.02383e-09    
97	0	0	1.0512e-09     
98	0	0	1.07852e-09    
99	0	0	1.11385e-09    
100	0	0	1.14397e-09    
101	0	0	1.18328e-09    
102	0	0	1.23742e-09    
103	0	0	1.28586e-09    
104	0	0	1.34558e-09    
105	0	0	1.41356e-09    
106	0	0	1.49627e-09    
107	0	0	1.60131e-09    
108	0	0	1.73787e-09    
109	0	0	1.9226e-09     
110	0	0	2.20239e-09    
111	0	0	2.68372e-09    
112	0	0	3.22884e-09    
113	0	0	3.04074e-09    
114	0	0	1.90209e-09    
115	0	0	7.00611e-10    
116	0	0	1.74953e-10    
117	0	0	1.64702e-11    
119	0	0	1.15319e-15    
120	0	0	8.21028e-16    
122	0	0	2.39007e-15    
123	0	0	1.42116e-14    
124	0	0	4.83223e-16    
126	0	0	3.80933e-15    
128	0	0	1.0021e-14     
129	0	0	1.304e-15      
130	0	0	7.85152e-16    
131	0	0	1.22854e-16    
132	0	0	1.19199e-14    
133	0	0	3.48235e-15    
140	0	0	1.97866e-14    
149	0	0	1.77385e-14    
150	0	0	1.28418e-15    
157	0	0	3.93386e-15    
159	0	0	1.82147e-15    
160	0	0	3.76936e-16    
161	0	0	9.25662e-16    
162	0	0	2.57353e-15    
163	0	0	7.12374e-15    
167	0	0	1.06493e-15    
168	0	0	1.32699e-14    
180	0	0	3.49397e-15    
187	0	0	3.50001e-16    
189	0	0	4.69127e-15    
192	0	0	4.83626e-15    
193	0	0	1.50963e-14    
194	0	0	4.20325e-16    
197	0	0	9.23481e-16    
198	0	0	2.3211e-15     
