i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	910.824   0.455602  0.455608  0.455602  0.455608  
1	0	0	917.161   0.456994  0.457003  0.456994  0.457003  
2	0	0	913.618   0.458406  0.458411  0.458406  0.458411  
3	0	0	917.744   0.459832  0.459832  0.459832  0.459832  
4	0	0	921.901   0.461271  0.461277  0.461271  0.461277  
5	0	0	921.394   0.462728  0.462734  0.462728  0.462734  
6	0	0	931.441   0.464215  0.464216  0.464215  0.464216  
7	0	0	936.175   0.465707  0.465723  0.465707  0.465723  
8	0	0	933.235   0.467237  0.467245  0.467237  0.467245  
9	0	0	940.887   0.468778  0.468782  0.468778  0.468782  
10	0	0	934.491   0.470328  0.47034   0.470328  0.47034   
11	0	0	942.478   0.471895  0.471915  0.471895  0.471915  
12	0	0	944.281   0.473505  0.473513  0.473505  0.473513  
13	0	0	952.57    0.475134  0.475131  0.475134  0.475131  
14	0	0	947.641   0.47677   0.476773  0.47677   0.476773  
15	0	0	961.284   0.478431  0.47844   0.478431  0.47844   
16	0	0	959.112   0.480118  0.480131  0.480118  0.480131  
17	0	0	965.221   0.481835  0.481848  0.481835  0.481848  
18	0	0	966.174   0.483589  0.483581  0.483589  0.483581  
19	0	0	971.15    0.485342  0.485348  0.485342  0.485348  
20	0	0	974.062   0.487122  0.487135  0.487122  0.487135  
21	0	0	972.957   0.488931  0.48894   0.488931  0.48894   
22	0	0	976.059   0.49077   0.490771  0.49077   0.490771  
23	0	0	979.28    0.49261   0.492629  0.49261   0.492629  
24	0	0	987.72    0.494512  0.494515  0.494512  0.494515  
25	0	0	990.177   0.496436  0.496429  0.496436  0.496429  
26	0	0	999.883   0.498376  0.498386  0.498376  0.498386  
27	0	0	1005.01   0.500367  0.500376  0.500367  0.500376  
28	0	0	1001.86   0.502381  0.502393  0.502381  0.502393  
29	0	0	1007.42   0.504428  0.504428  0.504428  0.504428  
30	0	0	1010.17   0.506498  0.506501  0.506498  0.506501  
31	0	0	1011.54   0.508597  0.5086    0.508597  0.5086    
32	0	0	1019      0.510741  0.51074   0.510741  0.51074   
33	0	0	1024.31   0.512904  0.512913  0.512904  0.512913  
34	0	0	1032.48   0.515113  0.51513   0.515113  0.51513   
35	0	0	1039.36   0.517367  0.517387  0.517367  0.517387  
36	0	0	1039.91   0.51967   0.519683  0.51967   0.519683  
37	0	0	1048.37   0.522014  0.522019  0.522014  0.522019  
38	0	0	1052.56   0.524399  0.524395  0.524399  0.524395  
39	0	0	1055.22   0.52679   0.52681   0.52679   0.52681   
40	0	0	1057.75   0.529259  0.529266  0.529259  0.529266  
41	0	0	1065.7    0.531747  0.531763  0.531747  0.531763  
42	0	0	1068.18   0.534284  0.534307  0.534284  0.534307  
43	0	0	1073.37   0.53689   0.536894  0.53689   0.536894  
44	0	0	1076.97   0.539507  0.539526  0.539507  0.539526  
45	0	0	1070.66   0.542155  0.542191  0.542155  0.542191  
46	0	0	1086.37   0.544906  0.544911  0.544906  0.544911  
47	0	0	1099.66   0.547705  0.547703  0.547705  0.547703  
48	0	0	1093.16   0.550553  0.550536  0.550553  0.550536  
