i	j	k	Dose(Gy)       proton_1       proton_1       O16            O16            

0	0	0	1.65383e-09    1.65383e-09    13             0              0              
1	0	0	1.40697e-09    1.31539e-09    13             0              0              
2	0	0	1.57865e-09    1.57049e-09    13             0              0              
3	0	0	1.71084e-09    1.71084e-09    13             0              0              
4	0	0	1.55985e-09    1.55985e-09    13             0              0              
5	0	0	1.46769e-09    1.46769e-09    13             0              0              
6	0	0	1.44701e-09    1.44701e-09    13             0              0              
7	0	0	1.41302e-09    1.41302e-09    13             0              0              
8	0	0	1.51465e-09    1.49553e-09    13             0              0              
9	0	0	1.6133e-09     1.54728e-09    13             0              0              
10	0	0	1.52608e-09    1.52608e-09    13             0              0              
11	0	0	1.40063e-09    1.33599e-09    13             0              0              
12	0	0	1.60095e-09    1.54767e-09    13             0              0              
13	0	0	1.5781e-09     1.5781e-09     13             0              0              
14	0	0	1.75907e-09    1.75907e-09    13             0              0              
15	0	0	1.591e-09      1.58955e-09    13             0              0              
16	0	0	1.47065e-09    1.35877e-09    13             0              0              
17	0	0	1.59855e-09    1.4996e-09     13             0              0              
18	0	0	1.45732e-09    1.45732e-09    13             0              0              
19	0	0	1.44613e-09    1.40896e-09    13             0              0              
20	0	0	1.58976e-09    1.50946e-09    13             0              0              
21	0	0	1.74476e-09    1.74476e-09    13             0              0              
22	0	0	1.45836e-09    1.45836e-09    13             0              0              
23	0	0	1.66529e-09    1.66529e-09    13             0              0              
24	0	0	1.64236e-09    1.62365e-09    13             0              0              
25	0	0	1.66059e-09    1.49034e-09    13             0              0              
26	0	0	1.70689e-09    1.6135e-09     13             0              0              
27	0	0	1.45527e-09    1.45527e-09    13             0              0              
28	0	0	1.52004e-09    1.52004e-09    13             0              0              
29	0	0	1.59242e-09    1.59242e-09    13             0              0              
30	0	0	1.50955e-09    1.50955e-09    13             0              0              
31	0	0	1.42284e-09    1.40125e-09    13             0              0              
32	0	0	1.68667e-09    1.61947e-09    13             0              0              
33	0	0	1.52169e-09    1.52169e-09    13             0              0              
34	0	0	1.57808e-09    1.57808e-09    13             0              0              
35	0	0	1.90507e-09    1.90507e-09    13             0              0              
36	0	0	1.56861e-09    1.56861e-09    13             0              0              
37	0	0	1.43674e-09    1.43674e-09    13             0              0              
38	0	0	1.6147e-09     1.52504e-09    13             0              0              
39	0	0	1.51237e-09    1.50098e-09    13             0              0              
40	0	0	1.65812e-09    1.65812e-09    13             0              0              
41	0	0	1.51185e-09    1.51185e-09    13             0              0              
42	0	0	1.52545e-09    1.52467e-09    13             0              0              
43	0	0	1.67415e-09    1.58444e-09    13             0              0              
44	0	0	1.57495e-09    1.56392e-09    13             0              0              
45	0	0	1.64384e-09    1.54113e-09    13             0              0              
46	0	0	1.69184e-09    1.5707e-09     13             0              0              
47	0	0	1.65556e-09    1.494e-09      13             0              0              
48	0	0	1.63837e-09    1.63837e-09    13             0              0              
49	0	0	1.65983e-09    1.65983e-09    13             0              0              
50	0	0	1.72068e-09    1.72068e-09    13             0              0              
51	0	0	1.75792e-09    1.75792e-09    13             0              0              
52	0	0	1.54483e-09    1.54483e-09    13             0              0              
53	0	0	1.5773e-09     1.5773e-09     13             0              0              
54	0	0	1.48493e-09    1.48493e-09    13             0              0              
55	0	0	1.59399e-09    1.59399e-09    13             0              0              
56	0	0	1.52165e-09    1.52165e-09    13             0              0              
57	0	0	1.60823e-09    1.60823e-09    13             0              0              
58	0	0	1.54124e-09    1.54124e-09    13             0              0              
59	0	0	1.68586e-09    1.59646e-09    13             0              0              
60	0	0	1.61839e-09    1.61839e-09    13             0              0              
61	0	0	1.63757e-09    1.63757e-09    13             0              0              
62	0	0	1.73199e-09    1.68596e-09    13             0              0              
63	0	0	1.59454e-09    1.53953e-09    13             0              0              
64	0	0	1.55756e-09    1.55756e-09    13             0              0              
65	0	0	1.72261e-09    1.63601e-09    13             0              0              
66	0	0	1.72218e-09    1.71188e-09    13             0              0              
67	0	0	1.83068e-09    1.73429e-09    13             0              0              
68	0	0	1.68592e-09    1.68592e-09    13             0              0              
69	0	0	1.69971e-09    1.69971e-09    13             0              0              
70	0	0	1.72161e-09    1.70077e-09    13             0              0              
71	0	0	1.65791e-09    1.57345e-09    13             0              0              
72	0	0	1.85652e-09    1.77132e-09    13             0              0              
73	0	0	1.56283e-09    1.56283e-09    13             0              0              
74	0	0	1.65406e-09    1.55868e-09    13             0              0              
75	0	0	1.80497e-09    1.75551e-09    13             0              0              
76	0	0	1.77325e-09    1.72194e-09    13             0              0              
77	0	0	1.72615e-09    1.6356e-09     13             0              0              
78	0	0	1.75472e-09    1.69574e-09    13             0              0              
79	0	0	1.66949e-09    1.62574e-09    13             0              0              
80	0	0	1.92912e-09    1.92912e-09    13             0              0              
81	0	0	1.80865e-09    1.80865e-09    13             0              0              
82	0	0	1.58977e-09    1.58977e-09    13             0              0              
83	0	0	1.93599e-09    1.93599e-09    13             0              0              
84	0	0	1.77421e-09    1.77421e-09    13             0              0              
85	0	0	1.57144e-09    1.57144e-09    13             0              0              
86	0	0	1.76486e-09    1.76486e-09    13             0              0              
87	0	0	1.56617e-09    1.56617e-09    13             0              0              
88	0	0	1.60859e-09    1.60859e-09    13             0              0              
89	0	0	1.90884e-09    1.90884e-09    13             0              0              
90	0	0	1.82566e-09    1.82566e-09    13             0              0              
91	0	0	1.72416e-09    1.72416e-09    13             0              0              
92	0	0	1.69902e-09    1.69902e-09    13             0              0              
93	0	0	2.14631e-09    1.87283e-09    13             0              0              
94	0	0	1.91695e-09    1.82887e-09    13             0              0              
95	0	0	1.92838e-09    1.92838e-09    13             0              0              
96	0	0	1.7608e-09     1.7467e-09     13             0              0              
97	0	0	1.94163e-09    1.85982e-09    13             0              0              
98	0	0	1.88542e-09    1.88542e-09    13             0              0              
99	0	0	1.75842e-09    1.75842e-09    13             0              0              
100	0	0	1.83643e-09    1.8321e-09     13             0              0              
101	0	0	1.87687e-09    1.78605e-09    13             0              0              
102	0	0	1.79556e-09    1.75796e-09    13             0              0              
103	0	0	1.93323e-09    1.78531e-09    13             0              0              
104	0	0	1.93928e-09    1.93928e-09    13             0              0              
105	0	0	1.87479e-09    1.87479e-09    13             0              0              
106	0	0	1.77935e-09    1.77935e-09    13             0              0              
107	0	0	1.92241e-09    1.92241e-09    13             0              0              
108	0	0	1.96489e-09    1.96489e-09    13             0              0              
109	0	0	1.9452e-09     1.9452e-09     13             0              0              
110	0	0	1.87617e-09    1.85672e-09    13             0              0              
111	0	0	1.91841e-09    1.84581e-09    13             0              0              
112	0	0	1.85644e-09    1.85644e-09    13             0              0              
113	0	0	1.80857e-09    1.80857e-09    13             0              0              
114	0	0	2.02269e-09    2.02269e-09    13             0              0              
115	0	0	2.06499e-09    2.06499e-09    13             0              0              
116	0	0	2.0858e-09     2.0858e-09     13             0              0              
117	0	0	1.98967e-09    1.98967e-09    13             0              0              
118	0	0	1.84329e-09    1.84329e-09    13             0              0              
119	0	0	2.00245e-09    2.00245e-09    13             0              0              
120	0	0	2.01488e-09    2.01488e-09    13             0              0              
121	0	0	1.89579e-09    1.89579e-09    13             0              0              
122	0	0	1.96868e-09    1.96868e-09    13             0              0              
123	0	0	1.88272e-09    1.88272e-09    13             0              0              
124	0	0	1.95294e-09    1.95294e-09    13             0              0              
125	0	0	1.96578e-09    1.96578e-09    13             0              0              
126	0	0	2.06387e-09    2.05475e-09    13             0              0              
127	0	0	2.02473e-09    1.94896e-09    13             0              0              
128	0	0	1.90763e-09    1.90763e-09    13             0              0              
129	0	0	2.04208e-09    2.04208e-09    13             0              0              
130	0	0	1.97496e-09    1.97496e-09    13             0              0              
131	0	0	2.14656e-09    2.14656e-09    13             0              0              
132	0	0	1.99525e-09    1.99525e-09    13             0              0              
133	0	0	2.12076e-09    2.12076e-09    13             0              0              
134	0	0	1.89785e-09    1.89785e-09    13             0              0              
135	0	0	2.0685e-09     2.0685e-09     13             0              0              
136	0	0	2.23332e-09    2.23332e-09    13             0              0              
137	0	0	2.18593e-09    2.18593e-09    13             0              0              
138	0	0	2.13521e-09    2.13521e-09    13             0              0              
