i	j	k	LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	1.15422        1.15035        1.15422        1.15035        0              0              
1	0	0	1.15371        1.15235        1.15371        1.15235        0              0              
2	0	0	1.15979        1.15425        1.15979        1.15425        0              0              
3	0	0	1.16605        1.1564         1.16605        1.1564         0              0              
4	0	0	1.15833        1.15853        1.15833        1.15853        0              0              
5	0	0	1.1653         1.16051        1.1653         1.16051        0              0              
6	0	0	1.16802        1.16243        1.16802        1.16243        0              0              
7	0	0	1.16465        1.16431        1.16465        1.16431        0              0              
8	0	0	1.16483        1.16629        1.16483        1.16629        0              0              
9	0	0	1.1708         1.16834        1.1708         1.16834        0              0              
10	0	0	1.16863        1.17038        1.16863        1.17038        0              0              
11	0	0	1.17655        1.17243        1.17655        1.17243        0              0              
12	0	0	1.17655        1.17439        1.17655        1.17439        0              0              
13	0	0	1.17664        1.17649        1.17664        1.17649        0              0              
14	0	0	1.19049        1.17877        1.19049        1.17877        0              0              
15	0	0	1.17969        1.18113        1.17969        1.18113        0              0              
16	0	0	1.18346        1.18321        1.18346        1.18321        0              0              
17	0	0	1.19099        1.18529        1.19099        1.18529        0              0              
18	0	0	1.19563        1.18737        1.19563        1.18737        0              0              
19	0	0	1.19018        1.18948        1.19018        1.18948        0              0              
20	0	0	1.19915        1.19155        1.19915        1.19155        0              0              
21	0	0	1.19448        1.19383        1.19448        1.19383        0              0              
22	0	0	1.20277        1.19608        1.20277        1.19608        0              0              
23	0	0	1.20469        1.1983         1.20469        1.1983         0              0              
24	0	0	1.20855        1.20073        1.20855        1.20073        0              0              
25	0	0	1.20755        1.20314        1.20755        1.20314        0              0              
26	0	0	1.20611        1.20546        1.20611        1.20546        0              0              
27	0	0	1.21414        1.2077         1.21414        1.2077         0              0              
28	0	0	1.21243        1.20985        1.21243        1.20985        0              0              
29	0	0	1.21001        1.2121         1.21001        1.2121         0              0              
30	0	0	1.21645        1.21433        1.21645        1.21433        0              0              
31	0	0	1.21837        1.21655        1.21837        1.21655        0              0              
32	0	0	1.22777        1.21882        1.22777        1.21882        0              0              
33	0	0	1.23438        1.22117        1.23438        1.22117        0              0              
34	0	0	1.23072        1.2235         1.23072        1.2235         0              0              
35	0	0	1.2255         1.22608        1.2255         1.22608        0              0              
36	0	0	1.22903        1.22866        1.22903        1.22866        0              0              
37	0	0	1.23862        1.23092        1.23862        1.23092        0              0              
38	0	0	1.24272        1.23329        1.24272        1.23329        0              0              
39	0	0	1.2381         1.23565        1.2381         1.23565        0              0              
40	0	0	1.23639        1.23804        1.23639        1.23804        0              0              
41	0	0	1.24626        1.24045        1.24626        1.24045        0              0              
42	0	0	1.24194        1.24285        1.24194        1.24285        0              0              
43	0	0	1.24531        1.24531        1.24531        1.24531        0              0              
44	0	0	1.24459        1.24782        1.24459        1.24782        0              0              
45	0	0	1.25081        1.25038        1.25081        1.25038        0              0              
46	0	0	1.25038        1.25306        1.25038        1.25306        0              0              
47	0	0	1.25957        1.25553        1.25957        1.25553        0              0              
