i	j	k	Dose(Gy)       
0	0	0	8.58758e-08    
1	0	0	8.48256e-08    
2	0	0	8.07742e-08    
3	0	0	7.99042e-08    
4	0	0	7.89619e-08    
5	0	0	7.97248e-08    
6	0	0	8.11691e-08    
7	0	0	7.8579e-08     
8	0	0	8.09634e-08    
9	0	0	8.27927e-08    
10	0	0	7.82156e-08    
11	0	0	7.68083e-08    
12	0	0	7.68848e-08    
13	0	0	7.77789e-08    
14	0	0	8.00367e-08    
15	0	0	8.01206e-08    
16	0	0	7.86615e-08    
17	0	0	7.93949e-08    
18	0	0	8.03086e-08    
19	0	0	8.03479e-08    
20	0	0	7.79702e-08    
21	0	0	7.94326e-08    
22	0	0	7.86983e-08    
23	0	0	8.05497e-08    
24	0	0	7.96604e-08    
25	0	0	7.85152e-08    
26	0	0	7.85867e-08    
27	0	0	8.13172e-08    
28	0	0	8.06905e-08    
29	0	0	7.89545e-08    
30	0	0	8.01853e-08    
31	0	0	8.13601e-08    
32	0	0	8.11088e-08    
33	0	0	8.13348e-08    
34	0	0	8.08413e-08    
35	0	0	7.63566e-08    
36	0	0	8.19496e-08    
37	0	0	8.05337e-08    
38	0	0	7.9436e-08     
39	0	0	8.04481e-08    
40	0	0	8.07244e-08    
41	0	0	7.72885e-08    
42	0	0	7.9391e-08     
43	0	0	7.88246e-08    
44	0	0	7.64706e-08    
45	0	0	7.98152e-08    
46	0	0	8.12415e-08    
47	0	0	8.12403e-08    
48	0	0	7.74584e-08    
49	0	0	8.09474e-08    
50	0	0	8.08263e-08    
51	0	0	8.14362e-08    
52	0	0	8.13374e-08    
53	0	0	8.2678e-08     
54	0	0	7.95275e-08    
55	0	0	7.8971e-08     
56	0	0	8.18989e-08    
57	0	0	8.11418e-08    
58	0	0	8.25861e-08    
59	0	0	8.18984e-08    
60	0	0	7.93774e-08    
61	0	0	8.1761e-08     
62	0	0	8.4815e-08     
63	0	0	8.25864e-08    
64	0	0	7.86453e-08    
65	0	0	8.25149e-08    
66	0	0	7.90409e-08    
67	0	0	7.66465e-08    
68	0	0	7.77958e-08    
69	0	0	7.66384e-08    
70	0	0	7.57311e-08    
71	0	0	7.63121e-08    
72	0	0	7.75077e-08    
73	0	0	7.61491e-08    
74	0	0	7.69886e-08    
75	0	0	7.84815e-08    
76	0	0	7.94694e-08    
77	0	0	7.82699e-08    
78	0	0	8.01369e-08    
79	0	0	7.90969e-08    
80	0	0	7.60756e-08    
81	0	0	7.82094e-08    
82	0	0	7.69872e-08    
83	0	0	7.70928e-08    
84	0	0	7.97478e-08    
85	0	0	7.46074e-08    
86	0	0	7.84684e-08    
87	0	0	7.9321e-08     
88	0	0	7.72509e-08    
89	0	0	7.76364e-08    
90	0	0	7.62468e-08    
91	0	0	7.85764e-08    
92	0	0	7.53302e-08    
93	0	0	8.12523e-08    
94	0	0	7.84765e-08    
95	0	0	8.02929e-08    
96	0	0	7.95662e-08    
97	0	0	7.65962e-08    
98	0	0	8.0202e-08     
99	0	0	7.50047e-08    
100	0	0	7.85275e-08    
101	0	0	7.82379e-08    
102	0	0	7.86124e-08    
103	0	0	8.0424e-08     
104	0	0	7.61097e-08    
105	0	0	7.9195e-08     
106	0	0	7.88954e-08    
107	0	0	7.97563e-08    
108	0	0	8.05453e-08    
109	0	0	7.93628e-08    
110	0	0	7.98413e-08    
111	0	0	7.94027e-08    
112	0	0	8.06887e-08    
113	0	0	7.98552e-08    
114	0	0	8.18129e-08    
115	0	0	8.0535e-08     
116	0	0	8.22405e-08    
117	0	0	7.82397e-08    
118	0	0	7.71165e-08    
119	0	0	7.81015e-08    
120	0	0	7.7807e-08     
121	0	0	7.90566e-08    
122	0	0	8.09887e-08    
123	0	0	7.78497e-08    
124	0	0	8.0816e-08     
125	0	0	7.7617e-08     
126	0	0	8.07201e-08    
127	0	0	8.03572e-08    
128	0	0	8.10175e-08    
129	0	0	8.18684e-08    
130	0	0	8.07309e-08    
131	0	0	8.03599e-08    
132	0	0	7.76846e-08    
133	0	0	8.16782e-08    
134	0	0	7.99698e-08    
135	0	0	8.34407e-08    
136	0	0	7.98458e-08    
137	0	0	8.33881e-08    
138	0	0	7.98467e-08    
139	0	0	7.86264e-08    
140	0	0	8.05561e-08    
141	0	0	8.11151e-08    
142	0	0	7.89084e-08    
143	0	0	7.78119e-08    
144	0	0	7.75085e-08    
145	0	0	8.136e-08      
146	0	0	8.26177e-08    
147	0	0	7.98846e-08    
148	0	0	7.87515e-08    
149	0	0	8.08032e-08    
150	0	0	7.97945e-08    
151	0	0	8.35306e-08    
152	0	0	8.12939e-08    
153	0	0	8.24716e-08    
154	0	0	8.62784e-08    
155	0	0	7.88142e-08    
156	0	0	8.04063e-08    
157	0	0	8.02181e-08    
158	0	0	8.01996e-08    
159	0	0	8.1909e-08     
160	0	0	8.16491e-08    
161	0	0	8.24717e-08    
162	0	0	8.05835e-08    
163	0	0	8.63678e-08    
164	0	0	8.17655e-08    
165	0	0	8.24048e-08    
166	0	0	8.15339e-08    
167	0	0	7.95794e-08    
168	0	0	8.27985e-08    
169	0	0	8.53398e-08    
170	0	0	8.31725e-08    
171	0	0	8.18545e-08    
172	0	0	8.52372e-08    
173	0	0	8.04779e-08    
174	0	0	8.16393e-08    
175	0	0	8.41825e-08    
176	0	0	8.67125e-08    
177	0	0	8.22772e-08    
178	0	0	8.43371e-08    
179	0	0	8.14234e-08    
180	0	0	8.40591e-08    
181	0	0	8.51454e-08    
182	0	0	8.11459e-08    
183	0	0	8.49856e-08    
184	0	0	8.49821e-08    
185	0	0	8.23159e-08    
186	0	0	8.44074e-08    
187	0	0	8.42515e-08    
188	0	0	8.20722e-08    
189	0	0	8.17311e-08    
190	0	0	8.35841e-08    
191	0	0	8.29969e-08    
192	0	0	8.20103e-08    
193	0	0	8.08101e-08    
194	0	0	8.65553e-08    
195	0	0	8.17868e-08    
196	0	0	8.3375e-08     
197	0	0	8.09044e-08    
198	0	0	8.48762e-08    
199	0	0	8.22431e-08    
200	0	0	8.12032e-08    
201	0	0	8.09054e-08    
202	0	0	8.31317e-08    
203	0	0	8.161e-08      
204	0	0	8.36661e-08    
205	0	0	8.25041e-08    
206	0	0	8.28472e-08    
207	0	0	8.25927e-08    
208	0	0	8.17549e-08    
209	0	0	8.22057e-08    
210	0	0	8.3066e-08     
211	0	0	8.52698e-08    
212	0	0	8.45506e-08    
213	0	0	8.44922e-08    
214	0	0	8.23342e-08    
215	0	0	8.5672e-08     
216	0	0	8.64374e-08    
217	0	0	8.5857e-08     
218	0	0	8.39395e-08    
219	0	0	8.32024e-08    
220	0	0	8.24092e-08    
221	0	0	8.15226e-08    
222	0	0	8.49664e-08    
223	0	0	8.30296e-08    
224	0	0	8.33134e-08    
225	0	0	8.3231e-08     
226	0	0	8.65256e-08    
227	0	0	8.12259e-08    
228	0	0	8.37125e-08    
229	0	0	8.49879e-08    
230	0	0	8.66698e-08    
231	0	0	8.34509e-08    
232	0	0	8.25544e-08    
233	0	0	8.35952e-08    
234	0	0	8.25216e-08    
235	0	0	8.29792e-08    
236	0	0	8.50829e-08    
237	0	0	8.5189e-08     
238	0	0	8.63821e-08    
239	0	0	8.41165e-08    
240	0	0	8.51199e-08    
241	0	0	8.25731e-08    
242	0	0	8.55628e-08    
243	0	0	8.28276e-08    
244	0	0	8.23707e-08    
245	0	0	8.52038e-08    
246	0	0	8.81353e-08    
247	0	0	8.37392e-08    
248	0	0	8.51724e-08    
249	0	0	8.3363e-08     
250	0	0	8.65179e-08    
251	0	0	8.79483e-08    
252	0	0	8.7558e-08     
253	0	0	8.64034e-08    
254	0	0	8.26205e-08    
255	0	0	8.42169e-08    
256	0	0	8.70782e-08    
257	0	0	8.33447e-08    
258	0	0	8.41799e-08    
259	0	0	8.50435e-08    
260	0	0	8.49074e-08    
261	0	0	8.47572e-08    
262	0	0	8.33781e-08    
263	0	0	8.49206e-08    
264	0	0	8.78715e-08    
265	0	0	8.65922e-08    
266	0	0	8.48058e-08    
267	0	0	8.65477e-08    
268	0	0	8.36489e-08    
269	0	0	8.43171e-08    
270	0	0	8.496e-08      
271	0	0	8.6457e-08     
272	0	0	8.53657e-08    
273	0	0	8.60476e-08    
274	0	0	8.45719e-08    
275	0	0	8.56652e-08    
276	0	0	8.74413e-08    
277	0	0	8.60134e-08    
278	0	0	8.77653e-08    
279	0	0	8.68145e-08    
280	0	0	8.90665e-08    
281	0	0	8.75036e-08    
282	0	0	8.76236e-08    
283	0	0	8.38691e-08    
284	0	0	8.55515e-08    
285	0	0	8.52013e-08    
286	0	0	8.46944e-08    
287	0	0	8.79105e-08    
288	0	0	8.35012e-08    
289	0	0	8.45848e-08    
290	0	0	8.27984e-08    
291	0	0	8.17178e-08    
292	0	0	8.72423e-08    
293	0	0	8.41527e-08    
294	0	0	8.75279e-08    
295	0	0	8.50562e-08    
296	0	0	8.29939e-08    
297	0	0	8.49302e-08    
298	0	0	8.71155e-08    
299	0	0	8.66962e-08    
300	0	0	8.43354e-08    
301	0	0	8.63953e-08    
302	0	0	8.48408e-08    
303	0	0	8.62629e-08    
304	0	0	8.4327e-08     
305	0	0	8.67603e-08    
306	0	0	8.8773e-08     
307	0	0	8.5704e-08     
308	0	0	8.53039e-08    
309	0	0	8.51488e-08    
310	0	0	8.75118e-08    
311	0	0	8.39134e-08    
312	0	0	8.99618e-08    
313	0	0	8.74649e-08    
314	0	0	8.40343e-08    
315	0	0	8.79232e-08    
316	0	0	8.5131e-08     
317	0	0	8.53416e-08    
318	0	0	8.66407e-08    
319	0	0	8.56944e-08    
320	0	0	8.68156e-08    
321	0	0	8.59236e-08    
322	0	0	8.66824e-08    
323	0	0	8.61848e-08    
324	0	0	8.77188e-08    
325	0	0	8.83829e-08    
326	0	0	9.0357e-08     
327	0	0	8.63696e-08    
328	0	0	8.724e-08      
329	0	0	8.5024e-08     
330	0	0	8.66302e-08    
331	0	0	8.70515e-08    
332	0	0	8.85416e-08    
333	0	0	8.78411e-08    
334	0	0	8.62951e-08    
335	0	0	8.58178e-08    
336	0	0	8.88007e-08    
337	0	0	8.79306e-08    
338	0	0	8.73031e-08    
339	0	0	8.74086e-08    
340	0	0	8.75009e-08    
341	0	0	8.932e-08      
342	0	0	8.8222e-08     
343	0	0	9.23986e-08    
344	0	0	9.03309e-08    
345	0	0	8.81316e-08    
346	0	0	8.86863e-08    
347	0	0	9.05806e-08    
348	0	0	8.94425e-08    
349	0	0	9.2623e-08     
350	0	0	9.03657e-08    
