i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            

0	0	0	2.56028e-09    2.48985e-09    22             0              0              0              0              
1	0	0	2.74124e-09    2.74124e-09    22             0              0              0              0              
2	0	0	2.81246e-09    2.65653e-09    22             0              0              0              0              
3	0	0	2.55129e-09    2.41728e-09    22             0              0              0              0              
4	0	0	2.72936e-09    2.72936e-09    22             0              0              0              0              
5	0	0	3.00965e-09    3.00965e-09    22             0              0              0              0              
6	0	0	2.75753e-09    2.69663e-09    22             0              0              0              0              
7	0	0	2.40194e-09    2.35128e-09    22             0              0              0              0              
8	0	0	2.81038e-09    2.73897e-09    22             0              0              0              0              
9	0	0	2.86217e-09    2.7124e-09     22             0              0              0              0              
10	0	0	2.85124e-09    2.85124e-09    22             0              0              0              0              
11	0	0	2.60072e-09    2.60072e-09    22             0              0              0              0              
12	0	0	2.63178e-09    2.59836e-09    22             0              0              0              0              
13	0	0	2.77532e-09    2.69254e-09    22             0              0              0              0              
14	0	0	2.66711e-09    2.66711e-09    22             0              0              0              0              
15	0	0	2.79896e-09    2.79896e-09    22             0              0              0              0              
16	0	0	2.49665e-09    2.49665e-09    22             0              0              0              0              
17	0	0	2.71829e-09    2.66812e-09    22             0              0              0              0              
18	0	0	2.92892e-09    2.75938e-09    22             0              0              0              0              
19	0	0	2.60167e-09    2.60167e-09    22             0              0              0              0              
20	0	0	2.60151e-09    2.4871e-09     22             0              0              0              0              
21	0	0	2.78282e-09    2.68798e-09    22             0              0              0              0              
22	0	0	2.96342e-09    2.77639e-09    22             0              0              0              0              
23	0	0	2.84287e-09    2.6811e-09     22             0              0              0              0              
24	0	0	2.74464e-09    2.71329e-09    22             0              0              0              0              
25	0	0	2.94761e-09    2.94761e-09    22             0              0              0              0              
26	0	0	2.65905e-09    2.65905e-09    22             0              0              0              0              
27	0	0	2.57849e-09    2.57841e-09    22             0              0              0              0              
28	0	0	2.75268e-09    2.63614e-09    22             0              0              0              0              
29	0	0	2.81551e-09    2.73001e-09    22             0              0              0              0              
30	0	0	2.91284e-09    2.88813e-09    22             0              0              0              0              
31	0	0	3.17904e-09    3.08306e-09    22             0              0              0              0              
32	0	0	2.88427e-09    2.78946e-09    22             0              0              0              0              
33	0	0	2.63422e-09    2.63422e-09    22             0              0              0              0              
34	0	0	2.8252e-09     2.81321e-09    22             0              0              0              0              
35	0	0	3.07313e-09    2.98595e-09    22             0              0              0              0              
36	0	0	2.84807e-09    2.84807e-09    22             0              0              0              0              
37	0	0	3.11338e-09    2.95839e-09    22             0              0              0              0              
38	0	0	2.96522e-09    2.81747e-09    22             0              0              0              0              
39	0	0	2.57185e-09    2.57185e-09    22             0              0              0              0              
40	0	0	2.92576e-09    2.91126e-09    22             0              0              0              0              
41	0	0	2.8843e-09     2.79583e-09    22             0              0              0              0              
42	0	0	2.9806e-09     2.9806e-09     22             0              0              0              0              
43	0	0	2.96846e-09    2.96846e-09    22             0              0              0              0              
44	0	0	2.93986e-09    2.84513e-09    22             0              0              0              0              
45	0	0	2.89499e-09    2.88502e-09    22             0              0              0              0              
