i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	1.23817        1.19365        1.23817        1.19365        0              0              0              0              
1	0	0	1.23851        1.19613        1.23851        1.19613        0              0              0              0              
2	0	0	1.22875        1.19883        1.22875        1.19883        0              0              0              0              
3	0	0	1.23925        1.20128        1.23925        1.20128        0              0              0              0              
4	0	0	1.22082        1.20367        1.22082        1.20367        0              0              0              0              
5	0	0	1.24095        1.20634        1.24095        1.20634        0              0              0              0              
6	0	0	1.23268        1.20913        1.23268        1.20913        0              0              0              0              
7	0	0	1.24002        1.2115         1.24002        1.2115         0              0              0              0              
8	0	0	1.23683        1.21407        1.23683        1.21407        0              0              0              0              
9	0	0	1.25264        1.21671        1.25264        1.21671        0              0              0              0              
10	0	0	1.23621        1.21938        1.23621        1.21938        0              0              0              0              
11	0	0	1.27938        1.22206        1.27938        1.22206        0              0              0              0              
12	0	0	1.24921        1.22475        1.24921        1.22475        0              0              0              0              
13	0	0	1.27634        1.22741        1.27634        1.22741        0              0              0              0              
14	0	0	1.26486        1.23013        1.26486        1.23013        0              0              0              0              
15	0	0	1.275          1.2329         1.275          1.2329         0              0              0              0              
16	0	0	1.28646        1.23565        1.28646        1.23565        0              0              0              0              
17	0	0	1.26411        1.23846        1.26411        1.23846        0              0              0              0              
18	0	0	1.28385        1.24131        1.28385        1.24131        0              0              0              0              
19	0	0	1.29554        1.24417        1.29554        1.24417        0              0              0              0              
20	0	0	1.2856         1.24704        1.2856         1.24704        0              0              0              0              
21	0	0	1.32583        1.24994        1.32583        1.24994        0              0              0              0              
22	0	0	1.30628        1.25323        1.30628        1.25323        0              0              0              0              
23	0	0	1.32407        1.25649        1.32407        1.25649        0              0              0              0              
24	0	0	1.30316        1.25956        1.30316        1.25956        0              0              0              0              
25	0	0	1.30197        1.26264        1.30197        1.26264        0              0              0              0              
26	0	0	1.30839        1.26571        1.30839        1.26571        0              0              0              0              
27	0	0	1.31543        1.2687         1.31543        1.2687         0              0              0              0              
28	0	0	1.33296        1.27176        1.33296        1.27176        0              0              0              0              
29	0	0	1.34853        1.27505        1.34853        1.27505        0              0              0              0              
30	0	0	1.32301        1.27849        1.32301        1.27849        0              0              0              0              
31	0	0	1.34187        1.28211        1.34187        1.28211        0              0              0              0              
32	0	0	1.34825        1.28572        1.34825        1.28572        0              0              0              0              
33	0	0	1.36996        1.2891         1.36996        1.2891         0              0              0              0              
34	0	0	1.36205        1.29264        1.36205        1.29264        0              0              0              0              
35	0	0	1.36382        1.29635        1.36382        1.29635        0              0              0              0              
