i	j	k	Dose(Gy)       
0	0	0	4.40432e-09    
1	0	0	4.43314e-09    
2	0	0	4.43929e-09    
3	0	0	4.45166e-09    
4	0	0	4.46459e-09    
5	0	0	4.45865e-09    
6	0	0	4.4853e-09     
7	0	0	4.49705e-09    
8	0	0	4.50415e-09    
9	0	0	4.51733e-09    
10	0	0	4.54025e-09    
11	0	0	4.55043e-09    
12	0	0	4.5773e-09     
13	0	0	4.56942e-09    
14	0	0	4.60564e-09    
15	0	0	4.60675e-09    
16	0	0	4.64524e-09    
17	0	0	4.63539e-09    
18	0	0	4.66655e-09    
19	0	0	4.67132e-09    
20	0	0	4.67802e-09    
21	0	0	4.70645e-09    
22	0	0	4.72513e-09    
23	0	0	4.73413e-09    
24	0	0	4.73364e-09    
25	0	0	4.76399e-09    
26	0	0	4.77116e-09    
27	0	0	4.79538e-09    
28	0	0	4.82047e-09    
29	0	0	4.84143e-09    
30	0	0	4.84457e-09    
31	0	0	4.86938e-09    
32	0	0	4.88249e-09    
33	0	0	4.90595e-09    
34	0	0	4.9217e-09     
35	0	0	4.94122e-09    
36	0	0	4.97094e-09    
37	0	0	4.98142e-09    
38	0	0	4.9955e-09     
39	0	0	5.02233e-09    
40	0	0	5.03684e-09    
41	0	0	5.06266e-09    
42	0	0	5.08478e-09    
43	0	0	5.11492e-09    
44	0	0	5.13066e-09    
45	0	0	5.15236e-09    
46	0	0	5.17617e-09    
47	0	0	5.18397e-09    
48	0	0	5.22179e-09    
49	0	0	5.23346e-09    
50	0	0	5.26533e-09    
51	0	0	5.2852e-09     
52	0	0	5.3039e-09     
53	0	0	5.33405e-09    
54	0	0	5.36457e-09    
55	0	0	5.38658e-09    
56	0	0	5.41121e-09    
57	0	0	5.45067e-09    
58	0	0	5.47313e-09    
59	0	0	5.50306e-09    
60	0	0	5.53439e-09    
61	0	0	5.555e-09      
62	0	0	5.58313e-09    
63	0	0	5.61681e-09    
64	0	0	5.65199e-09    
65	0	0	5.68037e-09    
66	0	0	5.70995e-09    
67	0	0	5.75151e-09    
68	0	0	5.77412e-09    
69	0	0	5.81269e-09    
70	0	0	5.85132e-09    
71	0	0	5.88841e-09    
72	0	0	5.916e-09      
73	0	0	5.95208e-09    
74	0	0	5.98901e-09    
75	0	0	6.0396e-09     
76	0	0	6.08705e-09    
77	0	0	6.1222e-09     
78	0	0	6.16025e-09    
79	0	0	6.21342e-09    
80	0	0	6.26684e-09    
81	0	0	6.31193e-09    
82	0	0	6.34867e-09    
83	0	0	6.39824e-09    
84	0	0	6.45911e-09    
85	0	0	6.50687e-09    
86	0	0	6.57145e-09    
87	0	0	6.6176e-09     
88	0	0	6.68485e-09    
89	0	0	6.73746e-09    
90	0	0	6.79385e-09    
91	0	0	6.86433e-09    
92	0	0	6.91883e-09    
93	0	0	6.99864e-09    
94	0	0	7.07238e-09    
95	0	0	7.1409e-09     
96	0	0	7.21235e-09    
97	0	0	7.30054e-09    
98	0	0	7.37751e-09    
99	0	0	7.45546e-09    
100	0	0	7.54615e-09    
101	0	0	7.63003e-09    
102	0	0	7.73491e-09    
103	0	0	7.84023e-09    
104	0	0	7.94406e-09    
105	0	0	8.06025e-09    
106	0	0	8.16997e-09    
107	0	0	8.28807e-09    
108	0	0	8.42854e-09    
109	0	0	8.54458e-09    
110	0	0	8.68546e-09    
111	0	0	8.84895e-09    
112	0	0	9.00806e-09    
113	0	0	9.17936e-09    
114	0	0	9.35128e-09    
115	0	0	9.56478e-09    
116	0	0	9.77217e-09    
117	0	0	1.00137e-08    
118	0	0	1.02595e-08    
119	0	0	1.05181e-08    
120	0	0	1.08163e-08    
121	0	0	1.11433e-08    
122	0	0	1.14992e-08    
123	0	0	1.19038e-08    
124	0	0	1.23671e-08    
125	0	0	1.28967e-08    
126	0	0	1.35019e-08    
127	0	0	1.42213e-08    
128	0	0	1.50831e-08    
129	0	0	1.61805e-08    
130	0	0	1.76279e-08    
131	0	0	1.96966e-08    
132	0	0	2.27085e-08    
133	0	0	2.66414e-08    
134	0	0	2.97347e-08    
135	0	0	2.75597e-08    
136	0	0	1.91772e-08    
137	0	0	8.91525e-09    
138	0	0	2.61302e-09    
139	0	0	4.74053e-10    
140	0	0	5.87089e-11    
141	0	0	3.65983e-14    
142	0	0	3.70107e-14    
143	0	0	2.87973e-14    
144	0	0	2.77812e-15    
145	0	0	3.47776e-14    
146	0	0	7.39581e-15    
147	0	0	3.93769e-15    
148	0	0	4.52248e-14    
149	0	0	2.61995e-14    
150	0	0	9.10195e-16    
151	0	0	4.16806e-16    
152	0	0	4.56863e-14    
153	0	0	2.13389e-14    
154	0	0	1.57468e-14    
155	0	0	1.83959e-14    
156	0	0	2.55652e-14    
162	0	0	1.04919e-14    
163	0	0	8.58488e-15    
164	0	0	1.89193e-14    
165	0	0	1.8997e-15     
166	0	0	1.46415e-15    
167	0	0	4.6947e-14     
168	0	0	3.2398e-14     
169	0	0	5.69956e-14    
170	0	0	5.1284e-15     
172	0	0	1.39471e-15    
177	0	0	5.91334e-16    
178	0	0	1.07504e-14    
179	0	0	4.63501e-15    
183	0	0	5.19417e-16    
185	0	0	1.72728e-15    
187	0	0	2.68537e-14    
189	0	0	1.38672e-15    
191	0	0	8.15288e-15    
192	0	0	9.95888e-16    
196	0	0	4.67826e-16    
197	0	0	7.50269e-15    
