i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	8836.63        0.441119       0.441124       0.441119       0.441124       0              0              0              0              
1	0	0	8845.21        0.442342       0.442347       0.442342       0.442347       0              0              0              0              
2	0	0	8865.43        0.443577       0.443582       0.443577       0.443582       0              0              0              0              
3	0	0	8896.37        0.444826       0.444832       0.444826       0.444832       0              0              0              0              
4	0	0	8905.07        0.446088       0.446095       0.446088       0.446095       0              0              0              0              
5	0	0	8911.5         0.447364       0.447369       0.447364       0.447369       0              0              0              0              
6	0	0	8957.37        0.448654       0.448658       0.448654       0.448658       0              0              0              0              
7	0	0	8977.53        0.449959       0.449965       0.449959       0.449965       0              0              0              0              
8	0	0	8997.41        0.45128        0.451286       0.45128        0.451286       0              0              0              0              
9	0	0	9028.53        0.452614       0.452622       0.452614       0.452622       0              0              0              0              
10	0	0	9063.5         0.453969       0.453974       0.453969       0.453974       0              0              0              0              
11	0	0	9091.57        0.45534        0.455344       0.45534        0.455344       0              0              0              0              
12	0	0	9140.65        0.456729       0.456733       0.456729       0.456733       0              0              0              0              
13	0	0	9133.79        0.458132       0.458135       0.458132       0.458135       0              0              0              0              
14	0	0	9194.84        0.459552       0.459558       0.459552       0.459558       0              0              0              0              
15	0	0	9198.6         0.460991       0.460996       0.460991       0.460996       0              0              0              0              
16	0	0	9281.97        0.462452       0.462458       0.462452       0.462458       0              0              0              0              
17	0	0	9249.59        0.463928       0.463933       0.463928       0.463933       0              0              0              0              
18	0	0	9321.93        0.465426       0.465429       0.465426       0.465429       0              0              0              0              
19	0	0	9335.28        0.466938       0.466945       0.466938       0.466945       0              0              0              0              
20	0	0	9338.91        0.468471       0.468477       0.468471       0.468477       0              0              0              0              
21	0	0	9404.59        0.470027       0.470031       0.470027       0.470031       0              0              0              0              
22	0	0	9433.25        0.471601       0.471606       0.471601       0.471606       0              0              0              0              
23	0	0	9447.75        0.473196       0.473202       0.473196       0.473202       0              0              0              0              
24	0	0	9456.87        0.474809       0.474814       0.474809       0.474814       0              0              0              0              
25	0	0	9518.75        0.476443       0.476451       0.476443       0.476451       0              0              0              0              
26	0	0	9525.99        0.478105       0.478108       0.478105       0.478108       0              0              0              0              
27	0	0	9576.52        0.479781       0.479788       0.479781       0.479788       0              0              0              0              
28	0	0	9627.08        0.481494       0.481497       0.481494       0.481497       0              0              0              0              
29	0	0	9669.49        0.483222       0.48323        0.483222       0.48323        0              0              0              0              
30	0	0	9678.8         0.484979       0.484985       0.484979       0.484985       0              0              0              0              
31	0	0	9729.73        0.486761       0.486765       0.486761       0.486765       0              0              0              0              
32	0	0	9745.43        0.488564       0.488569       0.488564       0.488569       0              0              0              0              
33	0	0	9799.98        0.490394       0.490401       0.490394       0.490401       0              0              0              0              
34	0	0	9840.07        0.492253       0.492261       0.492253       0.492261       0              0              0              0              
35	0	0	9861.46        0.494143       0.494147       0.494143       0.494147       0              0              0              0              
36	0	0	9920.71        0.496058       0.496063       0.496058       0.496063       0              0              0              0              
37	0	0	9954.23        0.498007       0.498008       0.498007       0.498008       0              0              0              0              
38	0	0	9973.99        0.499979       0.499981       0.499979       0.499981       0              0              0              0              
39	0	0	10037.4        0.501973       0.501985       0.501973       0.501985       0              0              0              0              
40	0	0	10053.1        0.504011       0.504018       0.504011       0.504018       0              0              0              0              
41	0	0	10115.4        0.506085       0.506086       0.506085       0.506086       0              0              0              0              
42	0	0	10153.4        0.508181       0.508188       0.508181       0.508188       0              0              0              0              
43	0	0	10219.4        0.510323       0.510325       0.510323       0.510325       0              0              0              0              
44	0	0	10241.7        0.512489       0.512498       0.512489       0.512498       0              0              0              0              
45	0	0	10295.4        0.514698       0.514703       0.514698       0.514703       0              0              0              0              
46	0	0	10336.1        0.516944       0.516949       0.516944       0.516949       0              0              0              0              
47	0	0	10355.5        0.519221       0.519226       0.519221       0.519226       0              0              0              0              
48	0	0	10426.8        0.521536       0.521545       0.521536       0.521545       0              0              0              0              
49	0	0	10450.6        0.523897       0.523901       0.523897       0.523901       0              0              0              0              
50	0	0	10522.6        0.526295       0.5263         0.526295       0.5263         0              0              0              0              
51	0	0	10549          0.528741       0.528741       0.528741       0.528741       0              0              0              0              
52	0	0	10595.4        0.531213       0.53122        0.531213       0.53122        0              0              0              0              
53	0	0	10655.7        0.533751       0.533749       0.533751       0.533749       0              0              0              0              
54	0	0	10713.6        0.536318       0.536324       0.536318       0.536324       0              0              0              0              
55	0	0	10763.4        0.538947       0.538945       0.538947       0.538945       0              0              0              0              
56	0	0	10802.3        0.541618       0.541615       0.541618       0.541615       0              0              0              0              
57	0	0	10887.5        0.544339       0.544338       0.544339       0.544338       0              0              0              0              
58	0	0	10934.8        0.547118       0.547116       0.547118       0.547116       0              0              0              0              
59	0	0	10986.1        0.549946       0.549946       0.549946       0.549946       0              0              0              0              
60	0	0	11050.8        0.552831       0.552832       0.552831       0.552832       0              0              0              0              
61	0	0	11092.1        0.55577        0.555773       0.55577        0.555773       0              0              0              0              
62	0	0	11151.4        0.558781       0.558772       0.558781       0.558772       0              0              0              0              
63	0	0	11222.2        0.561835       0.561833       0.561835       0.561833       0              0              0              0              
64	0	0	11289          0.564967       0.564959       0.564967       0.564959       0              0              0              0              
65	0	0	11347.7        0.568164       0.56815        0.568164       0.56815        0              0              0              0              
66	0	0	11400.3        0.571421       0.571409       0.571421       0.571409       0              0              0              0              
67	0	0	11487.9        0.574742       0.57474        0.574742       0.57474        0              0              0              0              
68	0	0	11531.1        0.578142       0.57814        0.578142       0.57814        0              0              0              0              
69	0	0	11606.4        0.581622       0.581616       0.581622       0.581616       0              0              0              0              
70	0	0	11687.1        0.585174       0.585173       0.585174       0.585173       0              0              0              0              
71	0	0	11761.4        0.588825       0.588811       0.588825       0.588811       0              0              0              0              
72	0	0	11818.8        0.592541       0.592533       0.592541       0.592533       0              0              0              0              
73	0	0	11888          0.596351       0.596338       0.596351       0.596338       0              0              0              0              
74	0	0	11958.3        0.600247       0.600234       0.600247       0.600234       0              0              0              0              
75	0	0	12061.7        0.60424        0.604227       0.60424        0.604227       0              0              0              0              
76	0	0	12159          0.608327       0.608326       0.608327       0.608326       0              0              0              0              
77	0	0	12228.8        0.612551       0.612527       0.612551       0.612527       0              0              0              0              
78	0	0	12296.6        0.61684        0.616831       0.61684        0.616831       0              0              0              0              
79	0	0	12411.7        0.621268       0.621251       0.621268       0.621251       0              0              0              0              
80	0	0	12519.4        0.625821       0.625796       0.625821       0.625796       0              0              0              0              
81	0	0	12602.9        0.630495       0.630465       0.630495       0.630465       0              0              0              0              
82	0	0	12677.9        0.635291       0.635256       0.635291       0.635256       0              0              0              0              
83	0	0	12777.7        0.640207       0.640178       0.640207       0.640178       0              0              0              0              
84	0	0	12903          0.645284       0.645249       0.645284       0.645249       0              0              0              0              
85	0	0	12994.2        0.650508       0.650469       0.650508       0.650469       0              0              0              0              
86	0	0	13124          0.65589        0.655849       0.65589        0.655849       0              0              0              0              
87	0	0	13220.6        0.66144        0.661387       0.66144        0.661387       0              0              0              0              
88	0	0	13351.4        0.667138       0.667105       0.667138       0.667105       0              0              0              0              
89	0	0	13455.6        0.673059       0.673          0.673059       0.673          0              0              0              0              
90	0	0	13569.5        0.679159       0.679081       0.679159       0.679081       0              0              0              0              
91	0	0	13706.9        0.685436       0.68537        0.685436       0.68537        0              0              0              0              
92	0	0	13820.5        0.691938       0.691866       0.691938       0.691866       0              0              0              0              
93	0	0	13971.7        0.698675       0.698592       0.698675       0.698592       0              0              0              0              
