i	j	k	Dose(Gy)       
0	0	0	3.78565e-08    
1	0	0	3.81711e-08    
2	0	0	3.82878e-08    
3	0	0	3.83232e-08    
4	0	0	3.83884e-08    
5	0	0	3.84509e-08    
6	0	0	3.85922e-08    
7	0	0	3.8622e-08     
8	0	0	3.8673e-08     
9	0	0	3.87552e-08    
10	0	0	3.87923e-08    
11	0	0	3.8888e-08     
12	0	0	3.8914e-08     
13	0	0	3.89718e-08    
14	0	0	3.91463e-08    
15	0	0	3.91858e-08    
16	0	0	3.92615e-08    
17	0	0	3.93247e-08    
18	0	0	3.94152e-08    
19	0	0	3.94833e-08    
20	0	0	3.95403e-08    
21	0	0	3.95941e-08    
22	0	0	3.96607e-08    
23	0	0	3.98039e-08    
24	0	0	3.98491e-08    
25	0	0	3.99442e-08    
26	0	0	4.00145e-08    
27	0	0	4.01074e-08    
28	0	0	4.02058e-08    
29	0	0	4.02531e-08    
30	0	0	4.04012e-08    
31	0	0	4.04139e-08    
32	0	0	4.05167e-08    
33	0	0	4.06386e-08    
34	0	0	4.07092e-08    
35	0	0	4.07794e-08    
36	0	0	4.08667e-08    
37	0	0	4.095e-08      
38	0	0	4.10393e-08    
39	0	0	4.11562e-08    
40	0	0	4.12138e-08    
41	0	0	4.13223e-08    
42	0	0	4.1423e-08     
43	0	0	4.15235e-08    
44	0	0	4.158e-08      
45	0	0	4.16936e-08    
46	0	0	4.17885e-08    
47	0	0	4.18834e-08    
48	0	0	4.19782e-08    
49	0	0	4.20902e-08    
50	0	0	4.21764e-08    
51	0	0	4.23238e-08    
52	0	0	4.2431e-08     
53	0	0	4.25137e-08    
54	0	0	4.26193e-08    
55	0	0	4.26882e-08    
56	0	0	4.28194e-08    
57	0	0	4.29292e-08    
58	0	0	4.30553e-08    
59	0	0	4.31476e-08    
60	0	0	4.32779e-08    
61	0	0	4.33879e-08    
62	0	0	4.34849e-08    
63	0	0	4.35768e-08    
64	0	0	4.372e-08      
65	0	0	4.38298e-08    
66	0	0	4.39519e-08    
67	0	0	4.40648e-08    
68	0	0	4.42076e-08    
69	0	0	4.42856e-08    
70	0	0	4.44529e-08    
71	0	0	4.45268e-08    
72	0	0	4.47278e-08    
73	0	0	4.47796e-08    
74	0	0	4.49211e-08    
75	0	0	4.50967e-08    
76	0	0	4.51876e-08    
77	0	0	4.53661e-08    
78	0	0	4.5469e-08     
79	0	0	4.56309e-08    
80	0	0	4.57744e-08    
81	0	0	4.59343e-08    
82	0	0	4.60275e-08    
83	0	0	4.62401e-08    
84	0	0	4.63478e-08    
85	0	0	4.65229e-08    
86	0	0	4.6632e-08     
87	0	0	4.68261e-08    
88	0	0	4.69256e-08    
89	0	0	4.71492e-08    
90	0	0	4.72372e-08    
91	0	0	4.74088e-08    
92	0	0	4.76137e-08    
