i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	76022.9        0.381007       0.381008       0.381007       0.381008       0              0              0              0              
1	0	0	76264.8        0.381667       0.381668       0.381667       0.381668       0              0              0              0              
2	0	0	76437.3        0.382333       0.382334       0.382333       0.382334       0              0              0              0              
3	0	0	76559.8        0.383004       0.383005       0.383004       0.383005       0              0              0              0              
4	0	0	76657.1        0.38368        0.383681       0.38368        0.383681       0              0              0              0              
5	0	0	76848.5        0.384361       0.384362       0.384361       0.384362       0              0              0              0              
6	0	0	77044.2        0.385048       0.385049       0.385048       0.385049       0              0              0              0              
7	0	0	77132.6        0.38574        0.385741       0.38574        0.385741       0              0              0              0              
8	0	0	77266.2        0.386438       0.386439       0.386438       0.386439       0              0              0              0              
9	0	0	77389.7        0.387141       0.387141       0.387141       0.387141       0              0              0              0              
10	0	0	77470.7        0.387848       0.387849       0.387848       0.387849       0              0              0              0              
11	0	0	77673.2        0.388562       0.388563       0.388562       0.388563       0              0              0              0              
12	0	0	77704.2        0.425781       0.389305       0.389281       0.389282       0              0              690.832        599.088        
13	0	0	77870.3        0.390006       0.390006       0.390006       0.390006       0              0              0              0              
14	0	0	78213.7        0.390737       0.390738       0.390737       0.390738       0              0              0              0              
15	0	0	78218.4        0.391474       0.391475       0.391474       0.391475       0              0              0              0              
16	0	0	78447.4        0.392217       0.392218       0.392217       0.392218       0              0              0              0              
17	0	0	78532.3        0.392966       0.392967       0.392966       0.392967       0              0              0              0              
18	0	0	78704          0.393721       0.393722       0.393721       0.393722       0              0              0              0              
19	0	0	78870.8        0.394484       0.394484       0.394484       0.394484       0              0              0              0              
20	0	0	78953.5        0.395251       0.395251       0.395251       0.395251       0              0              0              0              
21	0	0	79083.7        0.396024       0.396025       0.396024       0.396025       0              0              0              0              
22	0	0	79191.6        0.396803       0.396804       0.396803       0.396804       0              0              0              0              
23	0	0	79549.1        0.397591       0.397592       0.397591       0.397592       0              0              0              0              
24	0	0	79555.4        0.398384       0.398385       0.398384       0.398385       0              0              0              0              
25	0	0	79786.7        0.399185       0.399185       0.399185       0.399185       0              0              0              0              
26	0	0	79939.4        0.399991       0.399993       0.399991       0.399993       0              0              0              0              
27	0	0	80097.5        0.400806       0.400807       0.400806       0.400807       0              0              0              0              
28	0	0	80276.8        0.401628       0.401629       0.401628       0.401629       0              0              0              0              
29	0	0	80426.8        0.408961       0.402462       0.402456       0.402457       0              0              485.317        410.632        
30	0	0	80676.8        0.403292       0.403293       0.403292       0.403293       0              0              0              0              
31	0	0	80711.2        0.410187       0.404141       0.404136       0.404136       0              0              472.96         398.013        
32	0	0	80944.5        0.404985       0.404986       0.404985       0.404986       0              0              0              0              
33	0	0	81151.4        0.405844       0.405845       0.405844       0.405845       0              0              0              0              
34	0	0	81309.2        0.40671        0.406711       0.40671        0.406711       0              0              0              0              
35	0	0	81438.7        0.407585       0.407584       0.407585       0.407584       0              0              0              0              
36	0	0	81604.8        0.408466       0.408465       0.408466       0.408465       0              0              0              0              
37	0	0	81799.6        0.409354       0.409355       0.409354       0.409355       0              0              0              0              
38	0	0	81969.6        0.410252       0.410252       0.410252       0.410252       0              0              0              0              
39	0	0	82202          0.411159       0.411159       0.411159       0.411159       0              0              0              0              
40	0	0	82322.6        0.412073       0.412073       0.412073       0.412073       0              0              0              0              
41	0	0	82512.6        0.412995       0.412995       0.412995       0.412995       0              0              0              0              
42	0	0	82756.1        0.413927       0.413927       0.413927       0.413927       0              0              0              0              
43	0	0	82927.1        0.414867       0.414867       0.414867       0.414867       0              0              0              0              
44	0	0	83036.2        0.415817       0.415816       0.415817       0.415816       0              0              0              0              
45	0	0	83229.6        0.424114       0.416781       0.416775       0.416774       0              0              513.904        451.486        
46	0	0	83509.2        0.417742       0.417741       0.417742       0.417741       0              0              0              0              
47	0	0	83618.9        0.418717       0.418718       0.418717       0.418718       0              0              0              0              
48	0	0	83865.5        0.419704       0.419704       0.419704       0.419704       0              0              0              0              
49	0	0	84047.5        0.420701       0.4207         0.420701       0.4207         0              0              0              0              
50	0	0	84260.5        0.421706       0.421705       0.421706       0.421705       0              0              0              0              
51	0	0	84529.2        0.422722       0.422722       0.422722       0.422722       0              0              0              0              
52	0	0	84733.6        0.423748       0.423748       0.423748       0.423748       0              0              0              0              
53	0	0	84910.2        0.431473       0.424791       0.424785       0.424785       0              0              500.279        440.427        
54	0	0	85112.7        0.425832       0.425832       0.425832       0.425832       0              0              0              0              
55	0	0	85260.3        0.42689        0.426889       0.42689        0.426889       0              0              0              0              
56	0	0	85526          0.427958       0.427957       0.427958       0.427957       0              0              0              0              
57	0	0	85752.3        0.429039       0.429036       0.429039       0.429036       0              0              0              0              
58	0	0	85960.9        0.430128       0.430127       0.430128       0.430127       0              0              0              0              
59	0	0	86192.9        0.431231       0.431229       0.431231       0.431229       0              0              0              0              
60	0	0	86438.7        0.432345       0.432343       0.432345       0.432343       0              0              0              0              
61	0	0	86641.8        0.433469       0.433469       0.433469       0.433469       0              0              0              0              
62	0	0	86834.9        0.434608       0.434606       0.434608       0.434606       0              0              0              0              
63	0	0	87044.8        0.435756       0.435755       0.435756       0.435755       0              0              0              0              
64	0	0	87339.1        0.43692        0.436917       0.43692        0.436917       0              0              0              0              
65	0	0	87503.1        0.438094       0.438092       0.438094       0.438092       0              0              0              0              
66	0	0	87810.9        0.439279       0.439279       0.439279       0.439279       0              0              0              0              
67	0	0	87996.6        0.449249       0.440488       0.440482       0.44048        0              0              557.557        466.59         
68	0	0	88294.9        0.441695       0.441694       0.441695       0.441694       0              0              0              0              
69	0	0	88446          0.442924       0.442921       0.442924       0.442921       0              0              0              0              
70	0	0	88804          0.444163       0.444163       0.444163       0.444163       0              0              0              0              
71	0	0	88928.2        0.445419       0.445418       0.445419       0.445418       0              0              0              0              
