i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          

0	0	0	87363.5        0.437037       0.437043       0.437037       0.437043       0              0              0              0              0              0              
1	0	0	87463          0.438212       0.438218       0.438212       0.438218       0              0              0              0              0              0              
2	0	0	87742.6        0.4394         0.439405       0.4394         0.439405       0              0              0              0              0              0              
3	0	0	88075.3        0.440602       0.440608       0.440602       0.440608       0              0              0              0              0              0              
4	0	0	88292.3        0.441817       0.441823       0.441817       0.441823       0              0              0              0              0              0              
5	0	0	88544.7        0.443046       0.443052       0.443046       0.443052       0              0              0              0              0              0              
6	0	0	88701.1        0.444289       0.444294       0.444289       0.444294       0              0              0              0              0              0              
7	0	0	89033.1        0.445545       0.445551       0.445545       0.445551       0              0              0              0              0              0              
8	0	0	89245.5        0.460435       0.446836       0.446816       0.446822       0              0              512.718        435.376        0              0              
9	0	0	89497.9        0.448102       0.448107       0.448102       0.448107       0              0              0              0              0              0              
10	0	0	89808.1        0.449402       0.449408       0.449402       0.449408       0              0              0              0              0              0              
11	0	0	90007.7        0.450719       0.450724       0.450719       0.450724       0              0              0              0              0              0              
12	0	0	90341.1        0.45205        0.452055       0.45205        0.452055       0              0              0              0              0              0              
13	0	0	90584.1        0.453399       0.453403       0.453399       0.453403       0              0              0              0              0              0              
14	0	0	90867.8        0.454761       0.454767       0.454761       0.454767       0              0              0              0              0              0              
15	0	0	91074.6        0.456142       0.456147       0.456142       0.456147       0              0              0              0              0              0              
16	0	0	91402.3        0.457538       0.457543       0.457538       0.457543       0              0              0              0              0              0              
17	0	0	91644.9        0.458953       0.458957       0.458953       0.458957       0              0              0              0              0              0              
18	0	0	91955.6        0.460592       0.460417       0.460383       0.460389       3.30885        3.27541        0              0              0              0              
19	0	0	92298.4        0.463219       0.461893       0.461832       0.461838       11.4354        7.28099        0              0              0              0              
20	0	0	92500.2        0.4633         0.463306       0.4633         0.463306       0              0              0              0              0              0              
21	0	0	92846          0.464787       0.464792       0.464787       0.464792       0              0              0              0              0              0              
22	0	0	93162.9        0.466292       0.466297       0.466292       0.466297       0              0              0              0              0              0              
23	0	0	93498          0.467818       0.467823       0.467818       0.467823       0              0              0              0              0              0              
24	0	0	93746.2        0.469362       0.469368       0.469362       0.469368       0              0              0              0              0              0              
25	0	0	94007.3        0.470926       0.470932       0.470926       0.470932       0              0              0              0              0              0              
26	0	0	94413.7        0.479143       0.472524       0.472512       0.472517       0              0              518.783        444.732        0              0              
27	0	0	94728.9        0.474119       0.474125       0.474119       0.474125       0              0              0              0              0              0              
