i	j	k	Dose(Gy)       
0	0	0	4.20458e-09    
1	0	0	4.23471e-09    
2	0	0	4.24992e-09    
3	0	0	4.24672e-09    
4	0	0	4.26558e-09    
5	0	0	4.26859e-09    
6	0	0	4.29247e-09    
7	0	0	4.28667e-09    
8	0	0	4.29209e-09    
9	0	0	4.31115e-09    
10	0	0	4.31992e-09    
11	0	0	4.34337e-09    
12	0	0	4.34669e-09    
13	0	0	4.35197e-09    
14	0	0	4.37201e-09    
15	0	0	4.39263e-09    
16	0	0	4.3999e-09     
17	0	0	4.40151e-09    
18	0	0	4.43123e-09    
19	0	0	4.4371e-09     
20	0	0	4.43904e-09    
21	0	0	4.45188e-09    
22	0	0	4.47301e-09    
23	0	0	4.48631e-09    
24	0	0	4.49714e-09    
25	0	0	4.50684e-09    
26	0	0	4.51267e-09    
27	0	0	4.53553e-09    
28	0	0	4.54727e-09    
29	0	0	4.57299e-09    
30	0	0	4.57861e-09    
31	0	0	4.60084e-09    
32	0	0	4.61663e-09    
33	0	0	4.60833e-09    
34	0	0	4.63411e-09    
35	0	0	4.64487e-09    
36	0	0	4.65605e-09    
37	0	0	4.67742e-09    
38	0	0	4.68871e-09    
39	0	0	4.72175e-09    
40	0	0	4.7246e-09     
41	0	0	4.74213e-09    
42	0	0	4.75852e-09    
43	0	0	4.76074e-09    
44	0	0	4.79501e-09    
45	0	0	4.80978e-09    
46	0	0	4.83838e-09    
47	0	0	4.85555e-09    
48	0	0	4.86989e-09    
49	0	0	4.87304e-09    
50	0	0	4.89729e-09    
51	0	0	4.91881e-09    
52	0	0	4.95392e-09    
53	0	0	4.93764e-09    
54	0	0	4.97376e-09    
55	0	0	4.98682e-09    
56	0	0	5.01153e-09    
57	0	0	5.02423e-09    
58	0	0	5.05948e-09    
59	0	0	5.07186e-09    
60	0	0	5.09601e-09    
61	0	0	5.11872e-09    
62	0	0	5.13551e-09    
63	0	0	5.15336e-09    
64	0	0	5.19013e-09    
65	0	0	5.203e-09      
66	0	0	5.22413e-09    
67	0	0	5.24414e-09    
68	0	0	5.27006e-09    
69	0	0	5.29536e-09    
70	0	0	5.34069e-09    
71	0	0	5.34419e-09    
72	0	0	5.38249e-09    
73	0	0	5.39638e-09    
74	0	0	5.43659e-09    
75	0	0	5.46318e-09    
76	0	0	5.49498e-09    
77	0	0	5.51386e-09    
78	0	0	5.54007e-09    
79	0	0	5.57711e-09    
80	0	0	5.60259e-09    
81	0	0	5.62669e-09    
82	0	0	5.67013e-09    
83	0	0	5.70852e-09    
84	0	0	5.7282e-09     
85	0	0	5.76911e-09    
86	0	0	5.78998e-09    
87	0	0	5.83465e-09    
88	0	0	5.88811e-09    
89	0	0	5.9062e-09     
90	0	0	5.96128e-09    
91	0	0	5.9776e-09     
92	0	0	6.02599e-09    
93	0	0	6.06528e-09    
94	0	0	6.10974e-09    
95	0	0	6.1517e-09     
96	0	0	6.18819e-09    
97	0	0	6.24089e-09    
98	0	0	6.28878e-09    
99	0	0	6.32095e-09    
100	0	0	6.38445e-09    
101	0	0	6.4409e-09     
102	0	0	6.48837e-09    
103	0	0	6.55432e-09    
104	0	0	6.59844e-09    
105	0	0	6.64177e-09    
106	0	0	6.71809e-09    
107	0	0	6.77534e-09    
108	0	0	6.84369e-09    
109	0	0	6.90752e-09    
110	0	0	6.96988e-09    
111	0	0	7.03905e-09    
112	0	0	7.11277e-09    
113	0	0	7.17758e-09    
114	0	0	7.26014e-09    
115	0	0	7.34446e-09    
116	0	0	7.41887e-09    
117	0	0	7.50628e-09    
118	0	0	7.60084e-09    
119	0	0	7.692e-09      
120	0	0	7.79605e-09    
121	0	0	7.89842e-09    
122	0	0	7.99983e-09    
123	0	0	8.12018e-09    
124	0	0	8.23558e-09    
125	0	0	8.36277e-09    
126	0	0	8.50612e-09    
127	0	0	8.62966e-09    
128	0	0	8.77507e-09    
129	0	0	8.94259e-09    
130	0	0	9.10883e-09    
131	0	0	9.28493e-09    
132	0	0	9.47953e-09    
133	0	0	9.68444e-09    
134	0	0	9.89922e-09    
135	0	0	1.01602e-08    
136	0	0	1.04073e-08    
137	0	0	1.07e-08       
138	0	0	1.10067e-08    
139	0	0	1.13645e-08    
140	0	0	1.17503e-08    
141	0	0	1.21823e-08    
142	0	0	1.2683e-08     
143	0	0	1.32532e-08    
144	0	0	1.39501e-08    
145	0	0	1.47483e-08    
146	0	0	1.57789e-08    
147	0	0	1.71166e-08    
148	0	0	1.89357e-08    
149	0	0	2.14369e-08    
150	0	0	2.4964e-08     
151	0	0	2.79354e-08    
152	0	0	2.78007e-08    
153	0	0	2.2299e-08     
154	0	0	1.33895e-08    
155	0	0	5.86843e-09    
156	0	0	1.73069e-09    
157	0	0	3.16976e-10    
158	0	0	4.87026e-11    
159	0	0	2.44518e-13    
160	0	0	2.87792e-14    
161	0	0	2.60228e-14    
162	0	0	9.05118e-15    
163	0	0	6.85722e-15    
164	0	0	3.53645e-14    
165	0	0	3.44927e-14    
166	0	0	4.94277e-14    
167	0	0	1.22847e-14    
168	0	0	1.04451e-14    
169	0	0	2.17861e-15    
170	0	0	7.93226e-16    
171	0	0	1.89467e-14    
172	0	0	7.53992e-15    
173	0	0	1.22738e-14    
174	0	0	1.96539e-14    
175	0	0	2.10816e-15    
176	0	0	1.87509e-14    
177	0	0	4.51483e-14    
178	0	0	1.08243e-15    
179	0	0	3.0134e-14     
180	0	0	1.94071e-14    
181	0	0	5.90483e-15    
182	0	0	3.15359e-15    
183	0	0	3.10604e-14    
184	0	0	2.1046e-15     
185	0	0	2.37661e-15    
186	0	0	9.48817e-15    
187	0	0	2.84549e-14    
189	0	0	3.1144e-15     
193	0	0	9.2197e-16     
194	0	0	4.62866e-15    
195	0	0	2.13291e-14    
197	0	0	4.08547e-15    
