i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     

0	0	0	9459.14        0.4733         0.47331        0.4733         0.47331        
1	0	0	9486.08        0.474918       0.474928       0.474918       0.474928       
2	0	0	9511.82        0.476558       0.476566       0.476558       0.476566       
3	0	0	9549.6         0.478218       0.478228       0.478218       0.478228       
4	0	0	9594.9         0.479903       0.479914       0.479903       0.479914       
5	0	0	9627           0.481613       0.481623       0.481613       0.481623       
6	0	0	9639.62        0.483344       0.483353       0.483344       0.483353       
7	0	0	9675.65        0.485099       0.485108       0.485099       0.485108       
8	0	0	9743.57        0.486881       0.48689        0.486881       0.48689        
9	0	0	9752.86        0.488687       0.488697       0.488687       0.488697       
10	0	0	9786.8         0.490519       0.490528       0.490519       0.490528       
11	0	0	9828.77        0.492379       0.492388       0.492379       0.492388       
12	0	0	9863.82        0.494266       0.494275       0.494266       0.494275       
13	0	0	9945.77        0.496187       0.496196       0.496187       0.496196       
14	0	0	9978.48        0.498136       0.498147       0.498136       0.498147       
15	0	0	9996.93        0.500118       0.500126       0.500118       0.500126       
16	0	0	10038.2        0.502124       0.502134       0.502124       0.502134       
17	0	0	10086.7        0.504161       0.504175       0.504161       0.504175       
18	0	0	10101.7        0.506233       0.506243       0.506233       0.506243       
19	0	0	10152          0.508339       0.508346       0.508339       0.508346       
20	0	0	10187.9        0.510471       0.510481       0.510471       0.510481       
21	0	0	10242.6        0.512641       0.512653       0.512641       0.512653       
22	0	0	10273.4        0.514847       0.514858       0.514847       0.514858       
23	0	0	10321.6        0.517095       0.517101       0.517095       0.517101       
24	0	0	10362.4        0.51937        0.51938        0.51937        0.51938        
25	0	0	10423.5        0.521689       0.5217         0.521689       0.5217         
26	0	0	10470.8        0.524049       0.52406        0.524049       0.52406        
27	0	0	10515          0.526449       0.526463       0.526449       0.526463       
28	0	0	10544.8        0.528895       0.528905       0.528895       0.528905       
29	0	0	10616.9        0.531376       0.53139        0.531376       0.53139        
30	0	0	10660.2        0.533912       0.533921       0.533912       0.533921       
31	0	0	10762.5        0.536492       0.536506       0.536492       0.536506       
32	0	0	10797.4        0.539133       0.53914        0.539133       0.53914        
33	0	0	10799.7        0.541808       0.541816       0.541808       0.541816       
34	0	0	10865.6        0.54453        0.544539       0.54453        0.544539       
35	0	0	10948.2        0.547311       0.547318       0.547311       0.547318       
36	0	0	10986.7        0.550149       0.550151       0.550149       0.550151       
