i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     O16_D          O16_T          

0	0	0	9134.58        0.457129       0.457137       0.457129       0.457137       0              0              
1	0	0	9159.71        0.458537       0.458546       0.458537       0.458546       0              0              
2	0	0	9187.89        0.459964       0.459973       0.459964       0.459973       0              0              
3	0	0	9205.34        0.461407       0.461415       0.461407       0.461415       0              0              
4	0	0	9235.17        0.462867       0.462875       0.462867       0.462875       0              0              
5	0	0	9275.58        0.464348       0.464356       0.464348       0.464356       0              0              
6	0	0	9295.56        0.465846       0.465855       0.465846       0.465855       0              0              
7	0	0	9325.13        0.467366       0.467371       0.467366       0.467371       0              0              
8	0	0	9351.16        0.4689         0.468907       0.4689         0.468907       0              0              
9	0	0	9397.03        0.470457       0.470466       0.470457       0.470466       0              0              
10	0	0	9400.39        0.472036       0.472042       0.472036       0.472042       0              0              
11	0	0	9439.15        0.473631       0.473638       0.473631       0.473638       0              0              
12	0	0	9493.47        0.475251       0.475259       0.475251       0.475259       0              0              
13	0	0	9519.92        0.476894       0.476902       0.476894       0.476902       0              0              
14	0	0	9597.11        0.478563       0.478573       0.478563       0.478573       0              0              
15	0	0	9608.99        0.480261       0.480266       0.480261       0.480266       0              0              
16	0	0	9611.69        0.481971       0.481978       0.481971       0.481978       0              0              
17	0	0	9662.14        0.483708       0.483715       0.483708       0.483715       0              0              
18	0	0	9694.33        0.485469       0.485477       0.485469       0.485477       0              0              
19	0	0	9736.11        0.487257       0.487263       0.487257       0.487263       0              0              
20	0	0	9760.32        0.489068       0.489076       0.489068       0.489076       0              0              
21	0	0	9770.57        0.4909         0.49091        0.4909         0.49091        0              0              
22	0	0	9849.3         0.492768       0.492775       0.492768       0.492775       0              0              
23	0	0	9896.6         0.494664       0.494672       0.494664       0.494672       0              0              
24	0	0	9920.04        0.496592       0.496595       0.496592       0.496595       0              0              
25	0	0	9961.81        0.498538       0.498549       0.498538       0.498549       0              0              
26	0	0	10000.7        0.500519       0.50053        0.500519       0.50053        0              0              
27	0	0	10067          0.502543       0.502547       0.502543       0.502547       0              0              
28	0	0	10079.3        0.504588       0.504593       0.504588       0.504593       0              0              
29	0	0	10121.4        0.506663       0.506668       0.506663       0.506668       0              0              
30	0	0	10190.2        0.508777       0.508783       0.508777       0.508783       0              0              
31	0	0	10193.6        0.510925       0.510928       0.510925       0.510928       0              0              
32	0	0	10235.6        0.513096       0.513103       0.513096       0.513103       0              0              
33	0	0	10313.4        0.515312       0.51532        0.515312       0.51532        0              0              
34	0	0	10318.4        0.517565       0.517571       0.517565       0.517571       0              0              
35	0	0	10357.7        0.519843       0.519855       0.519843       0.519855       0              0              
36	0	0	10392.4        0.522171       0.522176       0.522171       0.522176       0              0              
37	0	0	10463.5        0.524534       0.524539       0.524534       0.524539       0              0              
38	0	0	10526.6        0.526942       0.526949       0.526942       0.526949       0              0              
39	0	0	10554.3        0.529394       0.5294         0.529394       0.5294         0              0              
40	0	0	10631.3        0.531889       0.531893       0.531889       0.531893       0              0              
41	0	0	10677.2        0.534435       0.534438       0.534435       0.534438       0              0              
42	0	0	10715.3        0.537019       0.537023       0.537019       0.537023       0              0              
43	0	0	10798.3        0.539651       0.539662       0.539651       0.539662       0              0              
44	0	0	10855.9        0.542345       0.542351       0.542345       0.542351       0              0              
45	0	0	10889.1        0.54509        0.545091       0.54509        0.545091       0              0              
46	0	0	10948.1        0.547874       0.54788        0.547874       0.54788        0              0              
47	0	0	10977.4        0.550712       0.550722       0.550712       0.550722       0              0              
48	0	0	11087          0.553615       0.553623       0.553615       0.553623       0              0              
49	0	0	11087.6        0.556575       0.556578       0.556575       0.556578       0              0              
50	0	0	11183.8        0.559593       0.559593       0.559593       0.559593       0              0              
51	0	0	11224.1        0.562667       0.562671       0.562667       0.562671       0              0              
52	0	0	11278.3        0.565807       0.565807       0.565807       0.565807       0              0              
53	0	0	11374.5        0.569008       0.569019       0.569008       0.569019       0              0              
54	0	0	11432.1        0.572298       0.572298       0.572298       0.572298       0              0              
55	0	0	11478.3        0.575642       0.575643       0.575642       0.575643       0              0              
56	0	0	11544.9        0.579062       0.57906        0.579062       0.57906        0              0              
57	0	0	11632.5        0.582561       0.582556       0.582561       0.582556       0              0              
58	0	0	11692.1        0.586135       0.586131       0.586135       0.586131       0              0              
59	0	0	11774.2        0.589791       0.58979        0.589791       0.58979        0              0              
60	0	0	11880.2        0.593549       0.593543       0.593549       0.593543       0              0              
61	0	0	11937.4        0.597386       0.597381       0.597386       0.597381       0              0              
62	0	0	12001.8        0.601317       0.601309       0.601317       0.601309       0              0              
63	0	0	12108          0.605353       0.605339       0.605353       0.605339       0              0              
64	0	0	12164.8        0.609473       0.609465       0.609473       0.609465       0              0              
65	0	0	12280.2        0.613708       0.6137         0.613708       0.6137         0              0              
66	0	0	12337.4        0.61805        0.618042       0.61805        0.618042       0              0              
