i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          

0	0	0	43441.5        0.43438        0.434386       0.43438        0.434386       0              0              0              0              
1	0	0	43525.4        0.435528       0.435533       0.435528       0.435533       0              0              0              0              
2	0	0	43623.3        0.436687       0.436693       0.436687       0.436693       0              0              0              0              
3	0	0	43711.8        0.437858       0.437863       0.437858       0.437863       0              0              0              0              
4	0	0	43868.9        0.439043       0.439048       0.439043       0.439048       0              0              0              0              
5	0	0	44004.6        0.440241       0.440247       0.440241       0.440247       0              0              0              0              
6	0	0	44133.2        0.453436       0.441472       0.441452       0.441459       0              0              485.567        388.286        
7	0	0	44266.8        0.442678       0.442684       0.442678       0.442684       0              0              0              0              
8	0	0	44355.7        0.443918       0.443923       0.443918       0.443923       0              0              0              0              
9	0	0	44470          0.44517        0.445176       0.44517        0.445176       0              0              0              0              
10	0	0	44527.6        0.446436       0.446441       0.446436       0.446441       0              0              0              0              
11	0	0	44671.2        0.447716       0.447722       0.447716       0.447722       0              0              0              0              
12	0	0	44819.9        0.474902       0.449037       0.449011       0.449017       0              0              646.095        491.298        
13	0	0	44945.1        0.450322       0.450327       0.450322       0.450327       0              0              0              0              
14	0	0	45077.3        0.451647       0.451653       0.451647       0.451653       0              0              0              0              
15	0	0	45186.3        0.452988       0.452994       0.452988       0.452994       0              0              0              0              
16	0	0	45418.8        0.454348       0.454352       0.454348       0.454352       0              0              0              0              
17	0	0	45556          0.455723       0.455728       0.455723       0.455728       0              0              0              0              
18	0	0	45655.6        0.457116       0.457121       0.457116       0.457121       0              0              0              0              
19	0	0	45824.4        0.458525       0.45853        0.458525       0.45853        0              0              0              0              
20	0	0	45944.4        0.459951       0.459956       0.459951       0.459956       0              0              0              0              
21	0	0	46066.9        0.461394       0.461401       0.461394       0.461401       0              0              0              0              
22	0	0	46168.1        0.462855       0.462861       0.462855       0.462861       0              0              0              0              
23	0	0	46377.3        0.464335       0.464341       0.464335       0.464341       0              0              0              0              
