i	j	k	Dose(Gy)       
0	1	4	1.27083e-11    
0	3	4	3.3705e-11     
0	3	6	1.04682e-11    
0	4	4	1.07004e-08    
0	4	5	1.00749e-08    
0	4	6	5.4282e-11     
0	4	9	7.68631e-11    
0	5	2	1.6837e-11     
0	5	3	4.69682e-11    
0	5	4	1.09692e-08    
0	5	5	1.17875e-08    
0	6	3	4.74441e-11    
0	6	4	8.36963e-11    
0	6	6	3.91162e-12    
0	7	7	4.54316e-11    
0	7	8	6.6596e-12     
1	4	4	1.09301e-08    
1	4	5	1.01045e-08    
1	5	4	1.09379e-08    
1	5	5	1.18405e-08    
2	4	4	1.1157e-08     
2	4	5	9.83392e-09    
2	5	4	1.17844e-08    
2	5	5	1.20537e-08    
3	4	4	1.12866e-08    
3	4	5	1.05984e-08    
3	5	4	1.0895e-08     
3	5	5	1.23348e-08    
4	4	4	1.15756e-08    
4	4	5	1.06018e-08    
4	5	4	1.09053e-08    
4	5	5	1.23989e-08    
5	4	4	1.13915e-08    
5	4	5	1.03426e-08    
5	5	4	1.03371e-08    
5	5	5	1.22775e-08    
6	4	4	1.19012e-08    
6	4	5	1.03021e-08    
6	5	4	1.14587e-08    
6	5	5	1.17787e-08    
7	4	4	1.111e-08      
7	4	5	1.05774e-08    
7	5	4	1.10929e-08    
7	5	5	1.19881e-08    
8	4	4	1.1386e-08     
8	4	5	1.07674e-08    
8	5	4	1.21191e-08    
8	5	5	1.21026e-08    
9	4	4	1.11376e-08    
9	4	5	1.04519e-08    
9	5	4	1.11344e-08    
9	5	5	1.20824e-08    
10	4	4	1.16031e-08    
10	4	5	1.03268e-08    
10	5	4	1.08128e-08    
10	5	5	1.20506e-08    
10	7	2	9.55879e-12    
11	4	4	1.10887e-08    
11	4	5	1.02099e-08    
11	5	4	1.12762e-08    
11	5	5	1.24174e-08    
12	4	4	1.16596e-08    
12	4	5	9.93135e-09    
12	5	4	1.13097e-08    
12	5	5	1.24428e-08    
13	4	4	1.14943e-08    
13	4	5	9.8798e-09     
13	5	4	1.12814e-08    
13	5	5	1.20965e-08    
14	4	4	1.07367e-08    
14	4	5	1.01184e-08    
14	5	4	1.13499e-08    
14	5	5	1.19065e-08    
15	4	4	1.08448e-08    
15	4	5	9.95629e-09    
15	5	4	1.17664e-08    
15	5	5	1.1778e-08     
16	4	4	1.10739e-08    
16	4	5	1.0012e-08     
16	5	4	1.12664e-08    
16	5	5	1.25133e-08    
17	4	4	1.1515e-08     
17	4	5	9.94091e-09    
17	5	4	1.07477e-08    
17	5	5	1.29582e-08    
18	4	4	1.09713e-08    
18	4	5	9.96993e-09    
18	5	4	1.19786e-08    
18	5	5	1.22551e-08    
19	4	4	1.14124e-08    
19	4	5	1.0434e-08     
19	5	4	1.15086e-08    
19	5	5	1.23964e-08    
19	7	8	1.3654e-11     
20	4	4	1.12898e-08    
20	4	5	1.0371e-08     
20	5	4	1.105e-08      
20	5	5	1.26136e-08    
20	7	8	2.36746e-12    
21	4	4	1.11351e-08    
21	4	5	1.04929e-08    
21	5	4	1.14587e-08    
21	5	5	1.17799e-08    
22	4	4	1.0947e-08     
22	4	5	9.95302e-09    
22	5	4	1.12129e-08    
22	5	5	1.23218e-08    
23	4	4	1.08664e-08    
23	4	5	1.05976e-08    
23	5	4	1.16915e-08    
23	5	5	1.24037e-08    
24	4	4	1.10438e-08    
24	4	5	1.05467e-08    
24	5	4	1.06965e-08    
24	5	5	1.20367e-08    
25	4	4	1.0902e-08     
25	4	5	1.01788e-08    
25	5	4	1.15158e-08    
25	5	5	1.21242e-08    
26	4	4	1.12179e-08    
26	4	5	1.01502e-08    
26	5	4	1.17777e-08    
26	5	5	1.23801e-08    
27	4	4	1.10819e-08    
27	4	5	9.98346e-09    
27	5	4	1.12975e-08    
27	5	5	1.19793e-08    
28	4	4	1.08129e-08    
28	4	5	1.07452e-08    
28	5	4	1.1035e-08     
28	5	5	1.19185e-08    
29	4	4	1.12993e-08    
29	4	5	1.04923e-08    
29	5	4	1.10623e-08    
29	5	5	1.27555e-08    
30	4	4	1.10648e-08    
30	4	5	1.07521e-08    
30	5	4	1.15808e-08    
30	5	5	1.18818e-08    
31	4	4	1.16845e-08    
31	4	5	1.00476e-08    
31	5	4	1.20413e-08    
31	5	5	1.25517e-08    
32	4	4	1.17135e-08    
32	4	5	1.05184e-08    
32	5	4	1.22621e-08    
32	5	5	1.17666e-08    
33	3	2	1.69755e-12    
33	4	4	1.10935e-08    
33	4	5	1.01754e-08    
33	5	4	1.18456e-08    
33	5	5	1.244e-08      
34	4	4	1.12536e-08    
34	4	5	1.0612e-08     
34	5	4	1.16243e-08    
34	5	5	1.21608e-08    
35	4	4	1.13993e-08    
35	4	5	1.06378e-08    
35	5	4	1.11475e-08    
35	5	5	1.25322e-08    
36	4	4	1.13068e-08    
36	4	5	9.85613e-09    
36	5	4	1.16263e-08    
36	5	5	1.29695e-08    
37	4	4	1.18369e-08    
37	4	5	1.04459e-08    
37	5	4	1.16707e-08    
37	5	5	1.25658e-08    
38	4	4	1.1667e-08     
38	4	5	1.03713e-08    
38	5	4	1.11279e-08    
38	5	5	1.17854e-08    
39	3	2	3.48743e-13    
39	4	4	1.15388e-08    
39	4	5	9.96113e-09    
39	5	4	1.15201e-08    
39	5	5	1.20747e-08    
40	4	4	1.14938e-08    
40	4	5	1.06213e-08    
40	5	4	1.13893e-08    
40	5	5	1.22155e-08    
41	4	4	1.13612e-08    
41	4	5	1.01577e-08    
41	5	4	1.15761e-08    
41	5	5	1.18488e-08    
42	4	4	1.14419e-08    
42	4	5	1.03177e-08    
42	5	4	1.1546e-08     
42	5	5	1.2349e-08     
43	4	4	1.12015e-08    
43	4	5	1.06833e-08    
43	5	4	1.142e-08      
43	5	5	1.2246e-08     
44	4	4	1.11485e-08    
44	4	5	1.04542e-08    
44	5	4	1.14215e-08    
44	5	5	1.23198e-08    
45	4	4	1.1051e-08     
45	4	5	1.05231e-08    
