i	j	k	Dose(Gy)       
0	3	5	2.01897e-11    
0	4	3	2.51304e-11    
0	4	4	2.66982e-08    
0	4	5	2.86548e-08    
0	5	3	1.74691e-11    
0	5	4	2.67938e-08    
0	5	5	2.53526e-08    
0	6	5	3.00754e-11    
1	4	4	2.64803e-08    
1	4	5	2.84825e-08    
1	5	4	2.71854e-08    
1	5	5	2.53351e-08    
2	4	4	2.76602e-08    
2	4	5	2.89675e-08    
2	5	4	2.73711e-08    
2	5	5	2.47842e-08    
3	4	4	2.69044e-08    
3	4	5	2.91008e-08    
3	5	4	2.75208e-08    
3	5	5	2.57616e-08    
4	4	4	2.68163e-08    
4	4	5	2.87256e-08    
4	5	4	2.74175e-08    
4	5	5	2.49779e-08    
5	4	4	2.69616e-08    
5	4	5	2.96768e-08    
5	5	4	2.7205e-08     
5	5	5	2.53436e-08    
6	4	4	2.69863e-08    
6	4	5	2.89963e-08    
6	5	4	2.74644e-08    
6	5	5	2.47482e-08    
7	3	3	4.99317e-12    
7	4	4	2.7416e-08     
7	4	5	2.92231e-08    
7	5	4	2.7534e-08     
7	5	5	2.62109e-08    
8	4	4	2.64858e-08    
8	4	5	2.98886e-08    
8	5	4	2.75982e-08    
8	5	5	2.54624e-08    
9	4	4	2.83345e-08    
9	4	5	2.98669e-08    
9	5	4	2.79079e-08    
9	5	5	2.60793e-08    
10	4	4	2.77383e-08    
10	4	5	2.91955e-08    
10	5	4	2.76935e-08    
10	5	5	2.59525e-08    
11	4	4	2.77363e-08    
11	4	5	2.97512e-08    
11	5	4	2.7929e-08     
11	5	5	2.60923e-08    
12	4	4	2.72761e-08    
12	4	5	3.02573e-08    
12	5	4	2.78549e-08    
12	5	5	2.62047e-08    
13	4	4	2.72911e-08    
13	4	5	2.99596e-08    
13	5	4	2.85815e-08    
13	5	5	2.63182e-08    
14	4	4	2.84752e-08    
14	4	5	3.00671e-08    
14	5	4	2.77949e-08    
14	5	5	2.63227e-08    
15	4	4	2.85337e-08    
15	4	5	2.98381e-08    
15	5	4	2.76631e-08    
15	5	5	2.66571e-08    
16	4	4	2.77727e-08    
16	4	5	3.05309e-08    
16	5	4	2.80467e-08    
16	5	5	2.6781e-08     
17	4	4	2.80763e-08    
17	4	5	3.06747e-08    
17	5	4	2.82547e-08    
17	5	5	2.64674e-08    
18	4	4	2.8107e-08     
18	4	5	3.07771e-08    
18	5	4	2.85519e-08    
18	5	5	2.65098e-08    
19	4	4	2.83872e-08    
19	4	5	3.08057e-08    
19	5	4	2.87179e-08    
19	5	5	2.69669e-08    
20	4	4	2.86965e-08    
20	4	5	3.05779e-08    
20	5	4	2.79989e-08    
20	5	5	2.69633e-08    
21	4	4	2.84319e-08    
21	4	5	3.06952e-08    
21	5	4	2.90927e-08    
21	5	5	2.72397e-08    
22	4	4	2.82233e-08    
22	4	5	3.04818e-08    
22	5	4	2.80635e-08    
22	5	5	2.73782e-08    
23	4	4	2.8471e-08     
23	4	5	3.16514e-08    
23	5	4	2.85998e-08    
23	5	5	2.7183e-08     
24	4	4	2.88481e-08    
24	4	5	3.11241e-08    
24	5	4	2.83025e-08    
24	5	5	2.74531e-08    
25	4	4	2.85122e-08    
25	4	5	3.1002e-08     
25	5	4	2.85255e-08    
25	5	5	2.80269e-08    
26	4	4	2.91931e-08    
26	4	5	3.13898e-08    
26	5	4	2.8345e-08     
26	5	5	2.83489e-08    
27	4	4	2.92868e-08    
27	4	5	3.1147e-08     
27	5	4	2.89783e-08    
27	5	5	2.73882e-08    
28	4	4	2.94151e-08    
28	4	5	3.16565e-08    
28	5	4	2.93196e-08    
28	5	5	2.83325e-08    
29	4	4	2.93659e-08    
29	4	5	3.10643e-08    
29	5	4	2.9828e-08     
29	5	5	2.79882e-08    
30	4	4	2.89963e-08    
30	4	5	3.18652e-08    
30	5	4	2.91664e-08    
30	5	5	2.89563e-08    
31	4	4	2.92293e-08    
31	4	5	3.13353e-08    
31	5	4	2.97831e-08    
31	5	5	2.83779e-08    
32	4	4	2.97187e-08    
32	4	5	3.16984e-08    
32	5	4	2.96329e-08    
32	5	5	2.85674e-08    
33	4	4	2.95272e-08    
33	4	5	3.19337e-08    
33	5	4	2.96958e-08    
33	5	5	2.89619e-08    
34	4	4	2.97918e-08    
34	4	5	3.28958e-08    
34	5	4	2.98776e-08    
34	5	5	2.82369e-08    
35	4	4	2.97214e-08    
35	4	5	3.21192e-08    
35	5	4	2.9445e-08     
35	5	5	2.83666e-08    
36	4	4	3.03064e-08    
36	4	5	3.21015e-08    
36	5	4	3.05558e-08    
36	5	5	2.81107e-08    
37	4	4	2.9233e-08     
37	4	5	3.28258e-08    
37	5	4	3.0107e-08     
37	5	5	2.92229e-08    
38	4	4	2.98996e-08    
38	4	5	3.27221e-08    
38	5	4	3.05911e-08    
