i	j	k	Dose(Gy)       
0	0	0	6.05491e-08    
1	0	0	6.03082e-08    
2	0	0	6.15418e-08    
3	0	0	5.98787e-08    
4	0	0	6.03154e-08    
5	0	0	6.00219e-08    
6	0	0	6.13208e-08    
7	0	0	6.05372e-08    
8	0	0	6.01685e-08    
9	0	0	6.2013e-08     
10	0	0	6.29303e-08    
11	0	0	6.22719e-08    
12	0	0	6.14839e-08    
13	0	0	6.19642e-08    
14	0	0	6.25677e-08    
15	0	0	6.23192e-08    
16	0	0	6.21735e-08    
17	0	0	6.20046e-08    
18	0	0	6.29813e-08    
19	0	0	6.12871e-08    
20	0	0	6.25507e-08    
21	0	0	6.29175e-08    
22	0	0	6.22077e-08    
23	0	0	6.29304e-08    
24	0	0	6.34411e-08    
25	0	0	6.29502e-08    
26	0	0	6.2721e-08     
27	0	0	6.26604e-08    
28	0	0	6.37785e-08    
29	0	0	6.34095e-08    
30	0	0	6.4288e-08     
31	0	0	6.49721e-08    
32	0	0	6.44011e-08    
33	0	0	6.46612e-08    
34	0	0	6.40721e-08    
35	0	0	6.42139e-08    
36	0	0	6.3911e-08     
37	0	0	6.46266e-08    
38	0	0	6.4476e-08     
39	0	0	6.39976e-08    
40	0	0	6.48648e-08    
41	0	0	6.45296e-08    
42	0	0	6.37586e-08    
43	0	0	6.51742e-08    
44	0	0	6.51632e-08    
45	0	0	6.49396e-08    
46	0	0	6.47287e-08    
47	0	0	6.59672e-08    
48	0	0	6.50517e-08    
49	0	0	6.6217e-08     
50	0	0	6.62927e-08    
51	0	0	6.64085e-08    
52	0	0	6.69335e-08    
53	0	0	6.60469e-08    
54	0	0	6.6308e-08     
55	0	0	6.62804e-08    
56	0	0	6.67548e-08    
57	0	0	6.75799e-08    
58	0	0	6.68018e-08    
59	0	0	6.66941e-08    
60	0	0	6.64257e-08    
61	0	0	6.62018e-08    
62	0	0	6.73053e-08    
63	0	0	6.88134e-08    
64	0	0	6.70842e-08    
65	0	0	6.78513e-08    
66	0	0	6.87426e-08    
67	0	0	6.78775e-08    
68	0	0	6.83938e-08    
69	0	0	6.80516e-08    
70	0	0	6.68949e-08    
71	0	0	6.93759e-08    
72	0	0	6.80694e-08    
73	0	0	6.80243e-08    
74	0	0	6.88556e-08    
75	0	0	6.93599e-08    
76	0	0	6.94549e-08    
77	0	0	6.82764e-08    
78	0	0	7.04557e-08    
79	0	0	6.90029e-08    
80	0	0	7.01812e-08    
81	0	0	6.87697e-08    
82	0	0	6.98547e-08    
83	0	0	7.04983e-08    
84	0	0	7.02093e-08    
85	0	0	7.04176e-08    
86	0	0	7.04677e-08    
87	0	0	7.05963e-08    
88	0	0	7.07846e-08    
89	0	0	7.19376e-08    
90	0	0	7.1516e-08     
91	0	0	7.24807e-08    
92	0	0	7.15448e-08    
93	0	0	7.3777e-08     
94	0	0	7.27768e-08    
95	0	0	7.20066e-08    
96	0	0	7.30093e-08    
97	0	0	7.35016e-08    
98	0	0	7.31179e-08    
99	0	0	7.30053e-08    
100	0	0	7.43288e-08    
101	0	0	7.35132e-08    
102	0	0	7.29515e-08    
103	0	0	7.43034e-08    
104	0	0	7.35792e-08    
105	0	0	7.43632e-08    
106	0	0	7.47378e-08    
107	0	0	7.44911e-08    
108	0	0	7.53711e-08    
109	0	0	7.50167e-08    
110	0	0	7.44638e-08    
111	0	0	7.47534e-08    
112	0	0	7.61273e-08    
113	0	0	7.61116e-08    
114	0	0	7.50896e-08    
115	0	0	7.67629e-08    
116	0	0	7.68162e-08    
117	0	0	7.8143e-08     
118	0	0	7.72515e-08    
119	0	0	7.73174e-08    
120	0	0	7.71015e-08    
121	0	0	7.76109e-08    
122	0	0	7.7257e-08     
123	0	0	7.73372e-08    
124	0	0	7.92254e-08    
125	0	0	7.86223e-08    
126	0	0	7.90814e-08    
127	0	0	7.90813e-08    
128	0	0	7.98823e-08    
129	0	0	8.02954e-08    
130	0	0	8.01716e-08    
131	0	0	7.96654e-08    
132	0	0	8.09048e-08    
133	0	0	8.06218e-08    
134	0	0	8.19349e-08    
135	0	0	8.16114e-08    
136	0	0	8.11022e-08    
137	0	0	8.10781e-08    
138	0	0	8.26158e-08    
139	0	0	8.14119e-08    
140	0	0	8.16575e-08    
141	0	0	8.15539e-08    
142	0	0	8.29638e-08    
143	0	0	8.39088e-08    
144	0	0	8.4035e-08     
145	0	0	8.35038e-08    
146	0	0	8.47032e-08    
147	0	0	8.44611e-08    
148	0	0	8.44271e-08    
149	0	0	8.39119e-08    
150	0	0	8.4663e-08     
151	0	0	8.66129e-08    
152	0	0	8.47839e-08    
153	0	0	8.65184e-08    
154	0	0	8.71827e-08    
155	0	0	8.68289e-08    
156	0	0	8.66097e-08    
157	0	0	8.73455e-08    
158	0	0	8.76459e-08    
159	0	0	8.76562e-08    
160	0	0	8.75391e-08    
161	0	0	8.8557e-08     
162	0	0	8.91041e-08    
163	0	0	8.9844e-08     
164	0	0	9.02733e-08    
165	0	0	9.05948e-08    
166	0	0	8.99751e-08    
167	0	0	8.95012e-08    
168	0	0	9.07654e-08    
169	0	0	9.2046e-08     
170	0	0	9.38895e-08    
171	0	0	9.41333e-08    
172	0	0	9.2664e-08     
173	0	0	9.36071e-08    
174	0	0	9.28993e-08    
175	0	0	9.38288e-08    
176	0	0	9.49317e-08    
177	0	0	9.41953e-08    
178	0	0	9.37596e-08    
179	0	0	9.52447e-08    
180	0	0	9.71163e-08    
181	0	0	9.54684e-08    
182	0	0	9.69956e-08    
183	0	0	9.76225e-08    
184	0	0	9.77663e-08    
185	0	0	9.98032e-08    
186	0	0	9.90167e-08    
187	0	0	9.98552e-08    
188	0	0	1.00385e-07    
189	0	0	9.98022e-08    
190	0	0	1.01033e-07    
191	0	0	1.01414e-07    
192	0	0	1.02399e-07    
193	0	0	1.02967e-07    
194	0	0	1.02878e-07    
195	0	0	1.03634e-07    
196	0	0	1.05141e-07    
197	0	0	1.0587e-07     
198	0	0	1.06036e-07    
199	0	0	1.05196e-07    
200	0	0	1.05789e-07    
201	0	0	1.05568e-07    
202	0	0	1.06068e-07    
203	0	0	1.06683e-07    
204	0	0	1.08594e-07    
205	0	0	1.09631e-07    
206	0	0	1.10384e-07    
207	0	0	1.10397e-07    
208	0	0	1.12064e-07    
209	0	0	1.1156e-07     
210	0	0	1.13066e-07    
211	0	0	1.12614e-07    
212	0	0	1.16118e-07    
213	0	0	1.15176e-07    
214	0	0	1.15361e-07    
215	0	0	1.16739e-07    
216	0	0	1.17047e-07    
217	0	0	1.17466e-07    
218	0	0	1.20241e-07    
219	0	0	1.20576e-07    
220	0	0	1.21054e-07    
221	0	0	1.22174e-07    
222	0	0	1.23944e-07    
223	0	0	1.25007e-07    
224	0	0	1.25483e-07    
225	0	0	1.26786e-07    
226	0	0	1.28109e-07    
227	0	0	1.29854e-07    
228	0	0	1.28694e-07    
229	0	0	1.31043e-07    
230	0	0	1.31841e-07    
231	0	0	1.34055e-07    
232	0	0	1.36588e-07    
233	0	0	1.35913e-07    
234	0	0	1.37604e-07    
235	0	0	1.38789e-07    
236	0	0	1.40498e-07    
237	0	0	1.41273e-07    
238	0	0	1.44477e-07    
239	0	0	1.45319e-07    
240	0	0	1.48063e-07    
241	0	0	1.50368e-07    
242	0	0	1.51386e-07    
243	0	0	1.53479e-07    
244	0	0	1.5514e-07     
245	0	0	1.57153e-07    
246	0	0	1.59321e-07    
247	0	0	1.62525e-07    
248	0	0	1.64382e-07    
249	0	0	1.6792e-07     
250	0	0	1.68878e-07    
251	0	0	1.73397e-07    
252	0	0	1.77387e-07    
253	0	0	1.80598e-07    
254	0	0	1.84018e-07    
255	0	0	1.87551e-07    
256	0	0	1.90564e-07    
257	0	0	1.95903e-07    
258	0	0	2.00305e-07    
259	0	0	2.0521e-07     
260	0	0	2.1142e-07     
261	0	0	2.18173e-07    
262	0	0	2.24795e-07    
263	0	0	2.31893e-07    
264	0	0	2.40519e-07    
265	0	0	2.51429e-07    
266	0	0	2.63862e-07    
267	0	0	2.77525e-07    
268	0	0	2.98297e-07    
269	0	0	3.15555e-07    
270	0	0	3.3556e-07     
271	0	0	3.65077e-07    
272	0	0	3.90111e-07    
