i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T

0	0	0	60.1764   1.12781   1.12773   1.12781   1.12773   
1	0	0	60.3823   1.12954   1.1295    1.12954   1.1295    
2	0	0	60.8606   1.1313    1.13129   1.1313    1.13129   
3	0	0	59.6506   1.13312   1.13308   1.13312   1.13308   
4	0	0	60.3351   1.13492   1.13487   1.13492   1.13487   
5	0	0	60.1057   1.13669   1.13666   1.13669   1.13666   
6	0	0	61.1717   1.13853   1.13848   1.13853   1.13848   
7	0	0	60.4706   1.14041   1.14031   1.14041   1.14031   
8	0	0	60.2456   1.14216   1.14213   1.14216   1.14213   
9	0	0	62.6443   1.14407   1.144     1.14407   1.144     
10	0	0	62.5571   1.14594   1.14591   1.14594   1.14591   
11	0	0	61.8768   1.14788   1.1478    1.14788   1.1478    
12	0	0	61.4714   1.14983   1.1497    1.14983   1.1497    
13	0	0	61.8647   1.15163   1.1516    1.15163   1.1516    
14	0	0	62.0382   1.1536    1.15351   1.1536    1.15351   
15	0	0	62.3679   1.15551   1.15544   1.15551   1.15544   
16	0	0	62.431    1.15752   1.1574    1.15752   1.1574    
17	0	0	61.8213   1.15932   1.15934   1.15932   1.15934   
18	0	0	62.7483   1.16137   1.16129   1.16137   1.16129   
19	0	0	61.3562   1.16322   1.16325   1.16322   1.16325   
20	0	0	62.3009   1.16528   1.1652    1.16528   1.1652    
21	0	0	62.9655   1.16726   1.1672    1.16726   1.1672    
22	0	0	62.5248   1.16928   1.16921   1.16928   1.16921   
23	0	0	62.3598   1.17124   1.1712    1.17124   1.1712    
24	0	0	63.105    1.17324   1.17322   1.17324   1.17322   
25	0	0	63.1666   1.17535   1.17526   1.17535   1.17526   
26	0	0	62.7396   1.17735   1.1773    1.17735   1.1773    
27	0	0	62.5307   1.17949   1.17934   1.17949   1.17934   
28	0	0	63.2715   1.18154   1.1814    1.18154   1.1814    
29	0	0	63.6431   1.18355   1.18348   1.18355   1.18348   
30	0	0	64.8635   1.18575   1.18561   1.18575   1.18561   
31	0	0	64.8244   1.18786   1.18776   1.18786   1.18776   
32	0	0	63.8937   1.19004   1.18989   1.19004   1.18989   
33	0	0	64.6751   1.19214   1.19204   1.19214   1.19204   
34	0	0	63.5638   1.19429   1.19419   1.19429   1.19419   
35	0	0	64.3      1.19646   1.19634   1.19646   1.19634   
36	0	0	63.7846   1.1985    1.19851   1.1985    1.19851   
37	0	0	64.6264   1.2009    1.20068   1.2009    1.20068   
38	0	0	64.4597   1.20292   1.20288   1.20292   1.20288   
39	0	0	63.825    1.20511   1.20508   1.20511   1.20508   
40	0	0	64.5966   1.20735   1.20729   1.20735   1.20729   
41	0	0	64.7417   1.20956   1.20953   1.20956   1.20953   
42	0	0	63.6363   1.21181   1.21176   1.21181   1.21176   
43	0	0	64.6955   1.21397   1.214     1.21397   1.214     
44	0	0	65.3326   1.21628   1.21628   1.21628   1.21628   
45	0	0	64.8701   1.21864   1.21857   1.21864   1.21857   
46	0	0	64.5785   1.22093   1.22086   1.22093   1.22086   
47	0	0	66.3415   1.22326   1.2232    1.22326   1.2232    
48	0	0	64.6427   1.22561   1.22552   1.22561   1.22552   
